"en_airport","ko_airport","iata_code","icao_code","region","en_country","ko_country","en_city","ko_city","time_diff","des"
Dr. Babasaheb Ambedkar International Airport,암베드카 국제공항,NAG,VANP,아시아태평양,India,인도,Nagpur,나그푸르,-3.5,나그푸르
Dr. Juan C. Angara Airport,발러 공항,BQA,RPUR,아시아태평양,Philippines,필리핀,Baler,발레르,-1.0,발레르
Dr. Luis MarIa Argana International Airport,닥터 루이스 마리아 아르가냐 국제공항,ESG,SGME,중남미,Paraguay,파라과이,Mariscal Estigarribia,마리스칼 에스티가리비아,-13.0,마리스칼 에스티가리비아
Drake Bay Airport,드레이크 베이 공항,DRK,MRDK,중남미,Costa Rica,코스타리카,Drake Bay,드레이크 베이,-15.0,드레이크 베이
Drake Field,드레이크 필드 공항,FYV,KFYV,북미캐나다,United States,미국,Fayetteville,페이엣빌,-13.0,페이엣빌
Dresden Airport,드레스덴 공항,DRS,EDDC,유럽,Germany,독일,Dresden,드레스덴,-7.0,드레스덴
Dryden Regional Airport,드라이든 공항,YHD,CYHD,북미캐나다,Canada,캐나다,Dryden,드라이덴,-14.0,드라이덴
Dsseldorf Airport,뒤셀도르프 공항,DUS,EDDL,유럽,Germany,독일,Dusseldorf,뒤셀도르프,-7.0,뒤셀도르프
Dubai Creek Seaplane Base,두바이 크릭 수상비행기 기지,DCG,n/a,중동아프리카,United Arab Emirates,아랍에미레이트,Dubai,두바이,-5.0,두바이
Dubai International Airport,두바이 국제 공항,DXB,OMDB,중동아프리카,United Arab Emirates,아랍에미레이트,Dubai,두바이,-5.0,두바이
Dubbo City Regional Airport,더보 시티 공항,DBO,YSDU,대양주,Australia,오스트레일리아,Dubbo,더보,1.0,더보
Dublin Airport,더블린 공항,DUB,EIDW,유럽,Ireland,아일랜드,Dublin,더블린,-8.0,더블린
DuBois Regional Airport,두보이스 공항,DUJ,KDUJ,북미캐나다,United States,미국,DuBois,듀보이스,-13.0,듀보이스
Dubrovnik Airport,두브로브니크 공항,DBV,LDDU,유럽,Croatia,크로아티아,Dubrovnik,두브로브니크,-7.0,두브로브니크
Dubuque Regional Airport,더뷰크 공항,DBQ,KDBQ,북미캐나다,United States,미국,Dubuque,더뷰크,-14.0,더뷰크
Duluth International Airport,덜루스 국제 공항,DLH,KDLH,북미캐나다,United States,미국,Duluth,덜루스,-14.0,덜루스
Dumka Sido Kanhu Airport,둠카 시도 칸후 공항,n/a,n/a,아시아태평양,India,인도,Dumka,둠카,-3.5,둠카
Dundee Airport,던디 공항,DND,EGPN,유럽,United Kingdom,영국,Dundee,던디,-8.0,던디
Dundo Airport,둔도 공항,DUE,FNDU,중동아프리카,Angola,앙골라,Dundo,둔도,-8.0,둔도
Dunedin International Airport,더니든 국제 공항,DUD,NZDN,아시아태평양,New Zealand,뉴질랜드,Dunedin,더니든,3.0,더니든
Dunhuang Airport,둔황 공항,DNH,ZLDH,아시아태평양,China,중국,Dunhuang,둔황,-1.0,둔황
Dunk Island Airport,덩크 아일랜드 공항,DKI,YDKI,대양주,Australia,오스트레일리아,Dunk Island,덩크 아일랜드,1.0,덩크 아일랜드
DuPage Airport,뒤페이지 공항,DPA,KDPA,북미캐나다,United States,미국,West Chicago,웨스트 시카고,-14.0,웨스트 시카고
Duqm International Airport,두쿰 국제공항,DQM,OODQ,중동아프리카,Oman,오만,Duqm,둠,-5.0,둠
Igrim Airport,이그림공항,IRM,USHI,유럽,Russia,러시아,Igrim,이그림,-4.0,이그림
Durango La Plata County Airport,두랑고 라플라타 카운티 공항,DRO,KDRO,북미캐나다,United States,미국,Durango,두랑고,-15.0,두랑고
Dushanbe International Airport,두샨베 국제 공항,DYU,UTDD,아시아태평양,Tajikistan,타지키스탄,Dushanbe,두샨베,-4.0,두샨베
Dutse Airport,두체 공항,n/a,n/a,중동아프리카,Nigeria,나이지리아,Dutse,두체,-8.0,두체
Dzaoudzi Pamandzi International Airport,자우지 파만지 국제공항,DZA,FMCZ,중동아프리카,Mayotte,마요트,Dzaoudzi,자우지,-5.0,자우지
Eagle Airport,이글 공항,EAA,PAEG,북미캐나다,United States,미국,Eagle,이글,-18.0,이글
Eagle County Regional Airport,이글 카운티 공항,EGE,KEGE,북미캐나다,United States,미국,Vail/Eagle,베일/이글,-15.0,베일/이글
Eagle River Union Airport,이글 리버 유니언 공항,EGV,KEGV,북미캐나다,United States,미국,Eagle River,이글 리버,-17.0,이글 리버
East Hampton Airport,이스트 햄프턴 공항,HTO,KHTO,북미캐나다,United States,미국,East Hampton,이스트 햄프턴,-13.0,이스트 햄프턴
East Kimberley Regional Airport,이스트 킴벌리 공항,KNX,YPKU,대양주,Australia,오스트레일리아,Kununurra,쿠누누라,-1.0,쿠누누라
East Midlands Airport,이스트 미들랜드 공항,EMA,EGNX,유럽,United Kingdom,영국,East Midlands,이스트 미들랜즈,-8.0,이스트 미들랜즈
East Texas Regional Airport,이스트 텍사스 공항,GGG,KGGG,북미캐나다,United States,미국,Longview,롱뷰,-16.0,롱뷰
Eastern Oregon Regional Airport,이스턴 오리건 공항,PDT,KPDT,북미캐나다,United States,미국,Pendleton,펜들턴,-17.0,펜들턴
Eastern Sierra Regional Airport,이스턴 시에라 공항,BIH,KBIH,북미캐나다,United States,미국,Bishop,비숍,-17.0,비숍
Eastern WV Regional Airport,이스턴 WV 지역 공항,MRB,KMRB,북미캐나다,United States,미국,Martinsburg,마틴스버그,-13.0,마틴스버그
Easterwood Airport,이스터우드 공항,CLL,KCLL,북미캐나다,United States,미국,College Station,칼리지 스테이션,-15.0,칼리지 스테이션
Eastmain River Airport,이스트메인 리버 공항,ZEM,CZEM,북미캐나다,Canada,캐나다,Eastmain,이스트메인,-14.0,이스트메인
Ebon Airport,에본 공항,EBO,n/a,아시아태평양,Marshall Islands,마샬 군도,EbonIsland,에본 섬,3.0,에본 섬
Ebonyi Chuba Okadigbo International Airport,에보니 추바 오카디그보 국제공항,n/a,DNEB,중동아프리카,Nigeria,나이지리아,Abakaliki,아바칼리키,-8.0,아바칼리키
Ed Daein Airport,에드 데인 공항,ADV,n/a,중동아프리카,Sudan,수단,Ed Daein,에드 다에인,-6.0,에드 다에인
Eday Airport,이데이 공항,EOI,EGED,유럽,United Kingdom,영국,Eday,이데이,-8.0,이데이
Edinburgh Airport,에든버러 공항,EDI,EGPH,유럽,United Kingdom,영국,Edinburgh,에든버러,-8.0,에든버러
Edmonton International Airport,에드먼턴 국제 공항,YEG,CYEG,북미캐나다,Canada,캐나다,Edmonton,에드먼턴,-15.0,에드먼턴
Edmonton Parkland Airport,에드먼턴 파크랜드 공항,n/a,n/a,북미캐나다,Canada,캐나다,Edmonton,에드먼턴,-15.0,에드먼턴
Edmundo Carvajal Airport,에드문도 카르바할 공항,XMS,SEMC,중남미,Ecuador,에콰도르,Macas,마카스,-14.0,마카스
Edna Bay Seaplane Base,에드나 베이 수상비행기 기지,EDA,n/a,북미캐나다,United States,미국,Edna Bay,에드나 베이,-17.0,에드나 베이
Eduardo Gomes International Airport,에두아르도 고메스 국제 공항,MAO,SBEG,중남미,Brazil,브라질,Manaus,마나우스,-13.0,마나우스
Edward Bodden Airfield,에드워드 보든 비행장,LYB,MWCL,중남미,Cayman Islands,케이멘제도,Little Cayman,리틀 케이맨,-14.0,리틀 케이맨
Edward G. Pitka Sr. Airport,에드워드 G. 피트카 시니어 공항,GAL,PAGA,북미캐나다,United States,미국,Galena,갈레나,-18.0,갈레나
Edward River Airport,에드워드 리버 공항,EDR,YPMP,대양주,Australia,오스트레일리아,Pormpuraaw,포름푸라우,1.0,포름푸라우
Edwards Air Force Base,에드워즈 공군기지,EDW,KEDW,북미캐나다,United States,미국,Edwards,에드워즈,-15.0,에드워즈
Eek Airport,에크 공항,EEK,PAEE,북미캐나다,United States,미국,Eek,이크,-18.0,이크
Egegik Airport,에게직 공항,EGX,PAII,북미캐나다,United States,미국,Egegik,에게기크,-18.0,에게기크
Egilsstaoir Airport,에질스스타디르 공항,EGS,BIEG,유럽,Iceland,아이슬란드,Egilsstaoir,에이일스타디르,-9.0,에이일스타디르
Eielson Air Force Base,아일슨 공군기지,EIL,PAEI,북미캐나다,United States,미국,Fairbanks,페어뱅크스,-17.0,페어뱅크스
Eindhoven Airport,아인트호벤 공항,EIN,EHEH,유럽,Netherlands,네덜란드,Eindhoven,아인트호벤,-7.0,아인트호벤
Eirunepe Airport,에이루네페 공항,ERN,SWEI,중남미,Brazil,브라질,Eirunepe,이루네페,-14.0,이루네페
Ejin Banner Taolai Airport,에진 배너 타오라이 공항,EJN,ZBEN,아시아태평양,China,중국,Ejin Banner,어지너 기,-1.0,어지너 기
Ekuk Airport,에쿡 공항,KKU,n/a,북미캐나다,United States,미국,Ekuk,에쿠크,-17.0,에쿠크
Ekwok Airport,엑웍 공항,KEK,n/a,북미캐나다,United States,미국,Ekwok,에크워크,-17.0,에크워크
El Aguacate Airport,엘 아과카테 공항,n/a,n/a,유럽,Honduras,온두라스,El Aguacate,엘 아과카테,-15.0,엘 아과카테
El Alcaravan Airport,엘 알카라반 공항,EYP,SKYP,중남미,Colombia,콜롬비아,Yopal,요팔,-14.0,요팔
El Alto International Airport,엘 알토 국제 공항,LPB,SLLP,중남미,Bolivia,볼리비아,La Paz,라파스,-13.0,라파스
El Arish International Airport,엘 아리시 국제공항,AAC,HEAR,중동아프리카,Egypt,이집트,El Arish,엘 아리시,-7.0,엘 아리시
El Bagre Airport,엘 바그레 공항,EBG,SKEB,중남미,Colombia,콜롬비아,El Bagre,엘 바그레,-14.0,엘 바그레
El Bayadh Airport,엘 바야드 공항,EBH,DAOY,중동아프리카,Algeria,알제리,El Bayadh,엘 바야드,-8.0,엘 바야드
El Bolson Airport,엘 볼손 공항,EHL,SAVB,중남미,Argentina,아르헨티나,El Bolson,엘 볼손,-12.0,엘 볼손
El Carano Airport,엘 카라뇨 공항,UIB,SKUI,중남미,Colombia,콜롬비아,Quibdo,키브도,-14.0,키브도
El Dorado International Airport,엘도라도 국제 공항,BOG,SKBO,중남미,Colombia,콜롬비아,Bogota,보고타,-14.0,보고타
El Eden International Airport,엘 에덴 국제 공항,AXM,SKAR,중남미,Colombia,콜롬비아,Armenia,아르메니아,-14.0,아르메니아
El Embrujo Airport,엘 엠브루호 공항,PVA,SKPV,중남미,Colombia,콜롬비아,Providencia Island,프로비덴시아 섬,-14.0,프로비덴시아 섬
El Fasher Airport,엘 파셔 공항,ELF,HSFS,중동아프리카,Sudan,수단,El Fasher,엘 파셰르,-7.0,엘 파셰르
El Golea Airport,엘 골레아 공항,ELG,DAUE,중동아프리카,Algeria,알제리,El Golea,엘 골레아,-8.0,엘 골레아
El Hierro Airport,엘 히에로 공항,VDE,GCHI,유럽,Spain,스페인,Valverde,발베르데,-8.0,발베르데
El Kharga Airport,엘 카르가 공항,UVL,HEKG,중동아프리카,Egypt,이집트,NewValley,뉴밸리,-7.0,뉴밸리
El Lencero Airport,엘 렌세로 공항,JAL,MMJA,중남미,Mexico,멕시코,Jalapa,할라파,-15.0,할라파
El Loa Airport,엘 로아 공항,CJC,SCCF,중남미,Chile,칠레,Calama,칼라마,-13.0,칼라마
El Nido Airport,엘니도 공항,ENI,RPXX,아시아태평양,Philippines,필리핀,El Nido,엘 니도,-1.0,엘 니도
El Nouzha Airport,엘 누자 공항,ALY,HEAX,중동아프리카,Egypt,이집트,Alexandria,알렉산드리아,-7.0,알렉산드리아
El Obeid Airport,엘 오베이드 공항,EBD,HSOB,중동아프리카,Sudan,수단,El Obeid,엘 오베이드,-7.0,엘 오베이드
El Palomar Airport,엘 팔로마 공항,EPA,SADP,중남미,Argentina,아르헨티나,El Palomar,엘 팔로마르,-12.0,엘 팔로마르
El Paso International Airport,엘패소 국제 공항,ELP,KELP,북미캐나다,United States,미국,El Paso,엘 패소,-15.0,엘 패소
El Porvenir Airport,엘 포르베니르 공항,PVE,MPVR,중남미,Panama,파나마,El Porvenir,엘 포르베니르,-14.0,엘 포르베니르
El TajIn National Airport,엘 타진 내셔널 공항,PAZ,MMPA,중남미,Mexico,멕시코,Poza Rica,포사 리카,-15.0,포사 리카
El Tari Airport,엘 타리 공항,KOE,WATT,아시아태평양,Indonesia,인도네시아,Kupang,쿠팡,-1.0,쿠팡
El Tehuelche Airport,엘 테우엘체 공항,PMY,SAVY,중남미,Argentina,아르헨티나,Puerto Madryn,푸에르토 마드린,-12.0,푸에르토 마드린
El Tepual Airport,엘 테푸알 공항,PMC,SCTE,중남미,Chile,칠레,Puerto Montt,푸에르토 몬트,-12.0,푸에르토 몬트
El Tigre Airport,엘 티그레 공항,ELX,SVTC,중남미,Venezuela,베네수엘라,El Tigre,엘 티그레,-13.0,엘 티그레
El Tor Airport,엘 토르 공항,ELT,HETR,중동아프리카,Egypt,이집트,El Tor,엘 토르,-7.0,엘 토르
El Trompillo Airport,엘 트롬필로 공항,SRZ,SLET,중남미,Bolivia,볼리비아,Santa Cruz,산타 크루즈,-16.0,산타 크루즈
Elazig Airport,엘라지그 공항,EZS,LTCA,유럽,Turkey,터키,Elazig,엘라지그,-6.0,엘라지그
Elcho Island Airport,엘초 아일랜드 공항,ELC,YELD,대양주,Australia,오스트레일리아,Elcho Island,엘초 아일랜드,0.5,엘초 아일랜드
Eldoret International Airport,엘도레트 국제 공항,EDL,HKEL,중동아프리카,Kenya,케냐,Eldoret,엘도레트,-6.0,엘도레트
Elenak Airport,엘레낙 공항,EAL,n/a,아시아태평양,Marshall Islands,마샬 군도,Mejato Island,메하토 섬,3.0,메하토 섬
Elfin Cove Seaplane Base,엘핀 코브 수상비행기 기지,ELV,PAEL,북미캐나다,United States,미국,Elfin Cove,엘핀 코브,-17.0,엘핀 코브
Elim Airport,엘림 공항,ELI,PFEL,북미캐나다,United States,미국,Elim,엘림,-18.0,엘림
Elista Airport,엘리스타 공항,ESL,URWI,유럽,Russia,러시아,Elista,엘리스타,-6.0,엘리스타
Elko Regional Airport,엘코 공항,EKO,KEKO,북미캐나다,United States,미국,Elko,엘코,-15.0,엘코
Ellington Field,엘링턴 필드,EFD,KEFD,북미캐나다,United States,미국,Houston,휴스턴,-15.0,휴스턴
Ellisras Airport,엘리스라스 공항,ELL,FAER,중동아프리카,South Africa,남아프리카,Ellisras,엘리스라스,-7.0,엘리스라스
Ellsworth Air Force Base,엘즈워스 공군기지,RCA,KRCA,북미캐나다,United States,미국,Rapid City,래피드 시티,-15.0,래피드 시티
Elmira Corning Regional Airport,엘미라 코닝 지역 공항,ELM,KELM,북미캐나다,United States,미국,Elmira,엘미라,-13.0,엘미라
Eloy Alfaro International Airport,엘로이 알파로 국제 공항,MEC,SEMT,중남미,Ecuador,에콰도르,Manta,만타,-14.0,만타
Elrose Airport,엘로즈 공항,ERQ,YESE,대양주,Australia,오스트레일리아,Elrose Mine,엘로스 광산,-1.0,엘로스 광산
Ely Airport,엘리 공항,ELY,KELY,북미캐나다,United States,미국,Ely,엘리,-14.0,엘리
Embu Airport,엠부 공항,n/a,n/a,중동아프리카,Kenya,케냐,Embu,엠부,-6.0,엠부
Emerald Airport,에메랄드 공항,EMD,YEML,대양주,Australia,오스트레일리아,Emerald,에메랄드,1.0,에메랄드
Emmen Air Base,엠멘 공군기지,EML,LSME,유럽,Switzerland,스위스,Emmen,엠멘,-7.0,엠멘
Emmonak Airport,엠모낙 공항,EMK,PAEM,북미캐나다,United States,미국,Emmonak,엠모나크,-18.0,엠모나크
Emo Airport,이모 공항,EMO,AYEO,아시아태평양,Papua New Guinea,파푸아뉴기니,Emo,이모,1.0,이모
Enarotali Airport,에나로탈리 공항,EWI,WABT,아시아태평양,Indonesia,인도네시아,Enarotali,에나로탈리,0.0,에나로탈리
Enejit Airport,에네짓 공항,EJT,n/a,아시아태평양,Marshall Islands,마샬 군도,Enejit,에네지트,3.0,에네지트
Enewetak Auxiliary Airfield,에네웨탁 보조 비행장,ENT,PKMA,아시아태평양,Marshall Islands,마샬 군도,Enewetak,에네웨타크,3.0,에네웨타크
Enfidha Hammamet International Airport,엔피다 함마메트 국제공항,NBE,DTNH,중동아프리카,Tunisia,튀니지,Enfidha,엔피다,-8.0,엔피다
Enggano Island Airport,엥가노 아일랜드 공항,n/a,WIGE,아시아태평양,Indonesia,인도네시아,Enggano Island,엥가노 제도,-2.0,엥가노 제도
Enonteki Airport,에논테키외 공항,ENF,EFET,유럽,Finland,핀란드,Enontekio,에논테키외,-6.0,에논테키외
Enrique Adolfo Jimenez Airport,엔리케 아돌포 히메네스 공항,ONX,MPEJ,중남미,Panama,파나마,Colon,콜론,-15.0,콜론
Enrique Malek International Airport,엔리케 말렉 국제 공항,DAV,MPDA,중남미,Panama,파나마,David,데이비드,-14.0,데이비드
Enschede AirportTwente,엔스헤데 공항트벤테,ENS,EHTW,유럽,Netherlands,네덜란드,Enschede,엔스헤데,-7.0,엔스헤데
Enshi Xujiaping Airport,엔스 쉬자핑 공항,ENH,ZHES,아시아태평양,China,중국,Enshi,언스,-1.0,언스
Entebbe International Airport,엔테베 국제 공항,EBB,HUEN,중동아프리카,Uganda,우간다,Entebbe,엔테베,-6.0,엔테베
Enua Airport,에누아 공항,AIU,NCAT,아시아태평양,Cook Islands,쿡 군도,Atiu Island,아티우 섬,-20.0,아티우 섬
epinal Mirecourt Airport,에피날 미르쿠르 공항,EPL,LFSG,유럽,France,프랑스,epinal,에피날,-7.0,에피날
Eppley Airfield,에플리 비행장,OMA,KOMA,북미캐나다,United States,미국,Omaha,오마하,-15.0,오마하
Erbil International Airport,에르빌 국제 공항,EBL,ORER,중동아프리카,Iraq,이라크,Erbil,에르빌,-6.0,에르빌
Erbogachen Airport,에르보가첸 공항,ERG,UIKE,유럽,Russia,러시아,Yerbogachen,예르보가첸,-2.0,예르보가첸
Ercan International Airport,에르칸 국제공항,ECN,LCEN,유럽,Cyprus,키프러스,Ercan,에르잔,-7.0,에르잔
Erechim Airport,에레킴 공항,ERM,SSER,중남미,Brazil,브라질,Erechim,에레싱,-12.0,에레싱
Erenhot Saiwusu International Airport,에렌호터 사이우스 국제공항,ERL,ZBER,아시아태평양,China,중국,Erenhot,어렌호트,-1.0,어렌호트
Erfurt Weimar Airport,에르푸르트 바이마르 공항,ERF,EDDE,유럽,Germany,독일,Erfurt,에르푸르트,-7.0,에르푸르트
Erie International Airport,이리 국제공항,ERI,KERI,북미캐나다,United States,미국,Erie,이리,-13.0,이리
Erik Nielsen Whitehorse International Airport,에릭 닐슨 화이트호스 국제공항,YXY,CYXY,북미캐나다,Canada,캐나다,Whitehorse,화이트호스,-16.0,화이트호스
Erkilet International Airport,에르킬레트 국제공항,ASR,LTAU,유럽,Turkey,터키,Kayseri,카이세리,-6.0,카이세리
Ernest A. Love Field,어니스트 에이 러브 필드,PRC,KPRC,북미캐나다,United States,미국,Prescott,프레스콧,-16.0,프레스콧
Ernesto Cortissoz International Airport,에르네스토 코르티소스 국제 공항,BAQ,SKBQ,중남미,Colombia,콜롬비아,Barranquilla,바랑키야,-14.0,바랑키야
Eros Airport,에로스 공항,ERS,FYWE,중동아프리카,Namibia,나미비아,Windhoek,빈트후크,-7.0,빈트후크
Erzincan Airport,에르진칸 공항,ERC,LTCD,유럽,Turkey,터키,Erzincan,에르진잔,-6.0,에르진잔
Erzurum Airport,에르주룸 공항,ERZ,LTCE,유럽,Turkey,터키,Erzurum,에르주룸,-6.0,에르주룸
Esbjerg Airport,에스비에르 공항,EBJ,EKEB,유럽,Denmark,덴마크,Esbjerg,에스비에르,-7.0,에스비에르
Esenboga International Airport,에센보아 국제공항,ESB,LTAC,유럽,Turkey,터키,Ankara,앙카라,-6.0,앙카라
Esperance Airport,에스페란스 공항,EPR,YESP,대양주,Australia,오스트레일리아,Esperance,에스페랑스,1.0,에스페랑스
Esquel Airport,에스켈 공항,EQS,SAVE,중남미,Argentina,아르헨티나,Esquel,에스켈,-12.0,에스켈
Essaouira Mogador Airport,에사우이라 모가도르 공항,ESU,GMMI,중동아프리카,Morocco,모로코,Essaouira,에사우이라,-8.0,에사우이라
Essen/Mlheim Airport,에센/뮬하임 공항,ESS,EDLE,유럽,Germany,독일,Essen,에센,-7.0,에센
Essendon Airport,에센돈 공항,MEB,YMEN,대양주,Australia,오스트레일리아,Melbourne,멜버른,1.0,멜버른
Etimesgut Air Base,에타임스구트 공군기지,ANK,LTAD,유럽,Turkey,터키,Ankara,앙카라,-6.0,앙카라
Eua Airport,우아 공항,EUA,NFTE,아시아태평양,Tonga,통가,Eua,에우아,4.0,에우아
Eugene Airport,유진 공항,EUG,KEUG,북미캐나다,United States,미국,Eugene,유진,-17.0,유진
Eugenio MarIa de Hostos Airport,에우제니오 마리아 데 호스토스 공항,MAZ,TJMZ,중남미,Puerto Rico,푸에르토리코,Mayagez,마야게스,-13.0,마야게스
Eurico de Aguiar Salles Airport,에우리코 살레즈 공항,VIX,SBVT,중남미,Brazil,브라질,Vitoria,비토리아,-12.0,비토리아
EuroAirportBasel Mulhouse Freiburg,유로에어포트 바젤 뮐루즈 프라이부르크,BSL,LFSB,유럽,Switzerland,스위스,Basel,바젤,-7.0,바젤
EuroAirportBasel Mulhouse Freiburg,유로에어포트 바젤 뮐루즈 프라이부르크,MLH,LFSB,유럽,France,프랑스,Mulhouse,뮐루즈,-7.0,뮐루즈
Evansville Regional Airport,에반스빌 공항,EVV,KEVV,북미캐나다,United States,미국,Evansville,에번스빌,-14.0,에번스빌
Evelio Javier Airport,에벨리오 하비에르 공항,EUQ,RPVS,아시아태평양,Philippines,필리핀,Antique,안티크,-1.0,안티크
Ewer Airport,이워 공항,EWE,WAKG,아시아태평양,Indonesia,인도네시아,Ewer,에워,0.0,에워
Excursion Inlet Seaplane Base,Excursion 입구 해저면 기지,EXI,n/a,북미캐나다,United States,미국,Excursion,엑스커션,-17.0,엑스커션
Exeter International Airport,엑서터 국제 공항,EXT,EGTE,유럽,United Kingdom,영국,Exeter,엑서터,-8.0,엑서터
Exuma International Airport,엑수마 국제 공항,GGT,MYEF,중남미,Bahamas,바하마,GeorgeTown,조지타운,-13.0,조지타운
Ezhou Huahu Airport,어저우 화후 공항,EHU,ZHEC,아시아태평양,China,중국,Echeng District,어청 구,-1.0,어청 구
F. D. Roosevelt Airport,F.D. 루즈벨트 공항,EUX,TNCE,중남미,Caribbean Netherlands,네덜란드령 카리브,StEustatius,세인트 유스타티우스,-13.0,세인트 유스타티우스
Faa'a International Airport,파아 국제 공항,PPT,NTAA,아시아태평양,French Polynesia,프랑스령 폴리네시아,Tahiti,타히티,-19.0,타히티
Faaite Airport,파이테 공항,FAC,NTKF,아시아태평양,French Polynesia,프랑스령 폴리네시아,Faaite,파아이테,-19.0,파아이테
Fabio Alberto Leon Bentley Airport,파비오 알베르토 레온 벤틀리 공항,MVP,SKMU,중남미,Colombia,콜롬비아,MitU,미투,-14.0,미투
Fagali'i Airport,파갈리 공항,FGI,NSFI,아시아태평양,Samoa,사모아,Apia,아피아,2.0,아피아
Fagernes Airport Leirin,레이린 공항,VDB,ENFG,유럽,Norway,노르웨이,Fagernes,파게르네스,-7.0,파게르네스
Fahud Airport,파후드 공항,FAU,OOFD,중동아프리카,Oman,오만,Fahud,파후드,-5.0,파후드
Fair Isle Airport,페어 아일 공항,FIE,EGEF,유럽,United Kingdom,영국,Fair Isle,페어 아일,-8.0,페어 아일
Fairbanks International Airport,페어뱅크스 국제 공항,FAI,PAFA,북미캐나다,United States,미국,Fairbanks,페어뱅크스,-17.0,페어뱅크스
Fairchild Air Force Base,페어차일드 공군기지,SKA,KSKA,북미캐나다,United States,미국,Spokane,스포캔,-17.0,스포캔
Faisalabad International Airport,파이살라바드 국제 공항,LYP,OPFA,중동아프리카,Pakistan,파키스탄,Faisalabad,파이살라바드,-4.0,파이살라바드
Fakahina Airport,파카히나 공항,FHZ,NTKH,아시아태평양,French Polynesia,프랑스령 폴리네시아,Fakahina,파카히나,-19.0,파카히나
Fakarava Airport,파카라바 공항,FAV,NTGF,아시아태평양,French Polynesia,프랑스령 폴리네시아,Fakarava,파카라바,-19.0,파카라바
Fakfak Torea Airport,팍팍 토레아 공항,FKQ,WASF,아시아태평양,Indonesia,인도네시아,Fakfak,팍팍,0.0,팍팍
Falam Surbung Airport,팔람 수르붕 공항,SRU,n/a,아시아태평양,Myanmar,미얀마,Falam Surbung,팔람 수르붕,-2.5,팔람 수르붕
Falcone Borsellino Airport,팔코네 보르셀리노 공항,PMO,LICJ,유럽,Italy,이탈리아,Palermo,팔레르모,-7.0,팔레르모
Faleolo International Airport,팔레올로 국제 공항,APW,NSFA,아시아태평양,Samoa,사모아,Apia,아피아,2.0,아피아
Falgunand Sukilumba Airport,팔군드 수킬룸바 공항,n/a,n/a,아시아태평양,Nepal,네팔,Falgunand,팔구나드,-3.75,팔구나드
Falls International Airport,폴스 국제 공항,INL,KINL,북미캐나다,United States,미국,International Falls,인터내셔널 폴스,-14.0,인터내셔널 폴스
False Pass Airport,폴스 패스 공항,KFP,PAKF,북미캐나다,United States,미국,False Pass,폴스 패스,-18.0,폴스 패스
Fane Airport,페네 공항,FNE,AYFA,아시아태평양,Papua New Guinea,파푸아뉴기니,Fane,파네,2.0,파네
Fangatau Airport,팡가타우 공항,FGU,NTGB,아시아태평양,French Polynesia,프랑스령 폴리네시아,Fangatau,팡가타우,-19.0,팡가타우
FAP Captain Carlos MartInez de Pinillos International Airport,카피탄 FAP 카를로스 마르티네즈 데 피닐로스 공항,TRU,SPRU,중남미,Peru,페루,Trujillo,트루히요,-14.0,트루히요
FAP Captain David Abensur Rengifo International Airport,카피탄 롤덴 공항,PCL,SPCL,중남미,Peru,페루,Pucallpa,푸칼파,-14.0,푸칼파
FAP Captain Guillermo Concha Iberico International Airport,카피탄 FAP 길레르모 콘i 이베리코 공항,PIU,SPUR,중남미,Peru,페루,Piura,피우라,-14.0,피우라
FAP Captain Jose Abelardo Quinones Gonzalez International Airport,커널 루이즈 공항,CIX,SPHI,중남미,Peru,페루,Chiclayo,치클라요,-14.0,치클라요
Farafangana Airport,파라팡가나 공항,RVA,FMSG,중동아프리카,Madagascar,마다가스카르,Farafangana,파라판가나,-6.0,파라판가나
Farah Airport,파라 공항,FAH,OAFR,중동아프리카,Afghanistan,아프가니스탄,Farah,파라,-4.5,파라
Faranah Airport,파라나 공항,FAA,GUFH,중동아프리카,Guinea,기니,Faranah,파라나,-8.0,파라나
Faresmaathodaa Airport,파레스마토다 공항,FMT,VRQF,아시아태평양,Maldives,몰디브,Faresmaathodaa,파레스마토다아,-4.0,파레스마토다아
Farnborough Airport,판버러 공항,FAB,EGLF,유럽,United Kingdom,영국,Farnborough,판버러,-8.0,판버러
Faro Airport,파로 공항,FAO,LPFR,유럽,Portugal,포르투갈,Faro,파루,-9.0,파루
Farrukhabad Airport,파루카바드 공항,n/a,VIFB,아시아태평양,India,인도,Farrukhabad,파루카바드,-3.5,파루카바드
Fasa Airport,파사 공항,FAZ,OISF,중동아프리카,Iran,이란,Fasa,파사,-5.5,파사
Fascene Airport,파신 공항,NOS,FMNN,중동아프리카,Madagascar,마다가스카르,Nosy Be,노시 베,-6.0,노시 베
Fatmawati Soekarno Airport,파트마와티 수카르노 공항,BKS,WIPL,아시아태평양,Indonesia,인도네시아,Bengkulu,벵쿨루,-2.0,벵쿨루
Faya Largeau Airport,파야 라조 공항,FYT,FTTY,중동아프리카,Chad,차드,Faya Largeau,파야 라르조,-8.0,파야 라르조
Fayetteville Regional Airport,페이엇빌 리저널 공항,FAY,KFAY,북미캐나다,United States,미국,Fayetteville,페이엣빌,-13.0,페이엣빌
Fayzabad Airport,파이자바드 공항,FBD,OAFZ,중동아프리카,Afghanistan,아프가니스탄,Fayzabad,파이자바드,-4.5,파이자바드
