"출발국가","출발공항","공항코드","운항일자","계획시간","실제시간","운항편명","환승승객"
"싱가포르","싱가포르","SIN","2024-11-11","23:10","23:27","KE647","24"
"싱가포르","싱가포르","SIN","2024-11-11","23:15","23:46","SQ605","1"
"중국","칭다오","TAO","2024-11-11","23:20","23:21","QW9902","2"
"아랍에미리트","두바이","DXB","2024-11-11","23:40","23:52","EK323","6"
"터키","이스탄불","IST","2024-11-12","00:10","00:07","TK091","3"
"아랍에미리트","아부다비","AUH","2024-11-12","00:20","00:24","EY827","1"
"카타르","도하","DOH","2024-11-12","00:20","00:28","QR859","10"
"중국","상하이/푸동","PVG","2024-11-12","00:30","00:31","ZE871","3"
"대만","타이베이","TPE","2024-11-12","00:30","00:35","IT603","0"
"에티오피아","아디스아바바/볼레","ADD","2024-11-12","00:30","01:45","ET673","13"
"필리핀","마닐라","MNL","2024-11-12","01:15","01:21","5J187","0"
"베트남","푸꾸옥","PQC","2024-11-12","01:45","02:21","VJ975","0"
"베트남","나트랑","CXR","2024-11-12","01:50","02:02","VJ839","0"
"베트남","푸꾸옥","PQC","2024-11-12","02:20","02:32","VJ979","0"
"베트남","푸꾸옥","PQC","2024-11-12","05:00","05:04","VJ977","0"
"베트남","나트랑","CXR","2024-11-12","06:15","06:09","VN441","0"
"베트남","다낭","DAD","2024-11-12","06:15","06:35","VJ881","0"
"베트남","나트랑","CXR","2024-11-12","06:20","06:19","VJ837","0"
"베트남","하노이","HAN","2024-11-12","06:25","06:41","VJ963","0"
"일본","후쿠오카","FUK","2024-11-12","06:30","06:44","7C1401","3"
"베트남","나트랑","CXR","2024-11-12","06:45","06:57","VJ835","0"
"말레이시아","쿠알라룸푸르","KUL","2024-11-12","06:50","07:03","OD821","0"
"일본","후쿠오카","FUK","2024-11-12","06:50","08:31","LJ261","0"
"베트남","호찌민","SGN","2024-11-12","07:00","07:12","VJ865","0"
"한국","부산","PUS","2024-11-12","07:00","07:15","KE1405","102"
"일본","마쓰야마","MYJ","2024-11-12","07:00","07:18","7C1771","1"
"일본","오사카/ 간사이","KIX","2024-11-12","07:00","07:20","7C1301","0"
"베트남","다낭","DAD","2024-11-12","07:00","07:37","VJ879","0"
"일본","키타큐슈","KKJ","2024-11-12","07:05","07:27","LJ349","3"
"필리핀","보홀 팡라오","TAG","2024-11-12","07:15","07:25","7C4407","0"
"일본","도쿄/나리타","NRT","2024-11-12","07:15","07:33","ZE605","0"
"베트남","하이퐁","HPH","2024-11-12","07:15","07:39","VJ925","0"
"일본","오사카/ 간사이","KIX","2024-11-12","07:15","08:07","RS711","0"
"일본","삿포로","CTS","2024-11-12","07:20","07:29","7C1501","1"
"일본","시즈오카","FSZ","2024-11-12","07:20","07:41","7C1605","0"
"일본","후쿠오카","FUK","2024-11-12","07:20","07:48","RS727","0"
"중국","옌타이","YNT","2024-11-12","07:25","07:31","MU5050","7"
"일본","후쿠오카","FUK","2024-11-12","07:25","07:35","BX156","0"
"일본","도쿄/나리타","NRT","2024-11-12","07:25","07:50","LJ201","0"
"필리핀","마닐라","MNL","2024-11-12","07:30","07:43","PR467","3"
"일본","오사카/ 간사이","KIX","2024-11-12","07:30","07:45","MM712","0"
"베트남","호찌민","SGN","2024-11-12","07:30","08:09","OZ731","57"
"말레이시아","쿠알라룸푸르","KUL","2024-11-12","07:35","07:51","D7505","0"
"일본","도쿄/나리타","NRT","2024-11-12","07:35","07:54","BX164","0"
"필리핀","마닐라","MNL","2024-11-12","07:35","08:02","OZ701","132"
"일본","나고야","NGO","2024-11-12","07:40","08:00","LJ345","0"
"일본","삿포로","CTS","2024-11-12","07:40","08:04","ZE621","0"
"일본","히로시마","HIJ","2024-11-12","07:45","07:57","7C1611","1"
"베트남","다낭","DAD","2024-11-12","07:45","08:11","TW125","0"
"필리핀","마닐라","MNL","2024-11-12","07:45","08:15","KE621","156"
"일본","구마모토","KMJ","2024-11-12","07:50","08:13","TW275","0"
"중국","선양(심양)","SHE","2024-11-12","07:55","08:13","TW613","3"
"일본","오사카/ 간사이","KIX","2024-11-12","07:55","08:15","TW281","5"
"중국","베이징/서우두","PEK","2024-11-12","07:55","08:21","KE859","50"
"일본","고마쓰","KMQ","2024-11-12","07:55","08:25","KE775","5"
"일본","후쿠오카","FUK","2024-11-12","08:00","08:16","KE787","45"
"일본","오카야마","OKJ","2024-11-12","08:00","08:23","KE771","3"
"일본","오사카/ 간사이","KIX","2024-11-12","08:00","08:35","LJ231","2"
"일본","오사카/ 간사이","KIX","2024-11-12","08:05","08:18","OZ112","34"
"베트남","하노이","HAN","2024-11-12","08:05","08:22","KE441","30"
"일본","오키나와","OKA","2024-11-12","08:05","08:24","KE755","17"
"일본","도쿄/나리타","NRT","2024-11-12","08:05","08:38","LJ217","3"
"일본","후쿠오카","FUK","2024-11-12","08:10","08:21","7C1411","0"
"홍콩","홍콩","HKG","2024-11-12","08:10","08:27","KE171","13"
"일본","도쿄/나리타","NRT","2024-11-12","08:10","08:29","7C1101","0"
"일본","도쿄/나리타","NRT","2024-11-12","08:10","08:32","RS705","0"
"일본","나고야","NGO","2024-11-12","08:10","08:42","OZ122","22"
"중국","선전","SZX","2024-11-12","08:15","08:37","KE827","12"
"필리핀","마닐라","MNL","2024-11-12","08:20","08:43","5J185","0"
"중국","베이징/서우두","PEK","2024-11-12","08:20","08:48","OZ331","70"
"중국","상하이/푸동","PVG","2024-11-12","08:25","08:46","KE893","62"
"일본","도쿄/나리타","NRT","2024-11-12","08:25","09:09","RF326","1"
"중국","칭다오","TAO","2024-11-12","08:30","08:38","MU2044","2"
"중국","광저우","CAN","2024-11-12","08:30","08:53","OZ369","63"
"일본","도쿄/나리타","NRT","2024-11-12","08:35","08:44","TW211","4"
"괌","괌","GUM","2024-11-12","08:35","08:49","TW303","6"
"일본","삿포로","CTS","2024-11-12","08:35","08:59","LJ301","0"
"일본","후쿠오카","FUK","2024-11-12","08:40","08:53","OZ132","7"
"일본","도쿄/나리타","NRT","2024-11-12","08:40","08:55","ZE601","0"
"중국","칭다오","TAO","2024-11-12","08:45","08:51","SC4622","4"
"일본","가고시마","KOJ","2024-11-12","08:45","08:57","KE785","0"
"일본","다카마쓰","TAK","2024-11-12","08:45","09:12","RS741","0"
"중국","선양(심양)","SHE","2024-11-12","08:50","09:06","KE831","73"
"싱가포르","싱가포르","SIN","2024-11-12","08:50","09:07","SQ607","0"
"일본","오사카/ 간사이","KIX","2024-11-12","08:55","09:03","LJ233","4"
"중국","상하이/푸동","PVG","2024-11-12","08:55","09:10","MU5052","0"
"중국","광저우","CAN","2024-11-12","08:55","09:36","KE865","63"
"홍콩","홍콩","HKG","2024-11-12","09:00","09:14","OZ721","5"
"일본","도쿄/나리타","NRT","2024-11-12","09:00","09:15","OZ102","55"
"일본","오사카/ 간사이","KIX","2024-11-12","09:00","09:18","KE723","39"
"독일","프랑크푸르트","FRA","2024-11-12","09:00","09:19","OZ541","7"
"대만","타이베이","TPE","2024-11-12","09:00","10:02","KE185","16"
"중국","상하이/푸동","PVG","2024-11-12","09:05","09:20","OZ361","78"
"일본","오사카/ 간사이","KIX","2024-11-12","09:05","09:21","ZE611","0"
"중국","칭다오","TAO","2024-11-12","09:05","09:24","KE845","64"
"중국","허페이","HFE","2024-11-12","09:05","09:26","KE135","1"
"일본","오사카/ 간사이","KIX","2024-11-12","09:10","09:24","BX172","0"
"일본","오사카/ 간사이","KIX","2024-11-12","09:10","09:27","7C1303","0"
"베트남","호찌민","SGN","2024-11-12","09:10","09:28","KE469","20"
"일본","삿포로","CTS","2024-11-12","09:10","09:30","OZ174","4"
"미국","보스턴","BOS","2024-11-12","09:10","09:37","KE091","149"
"베트남","하노이","HAN","2024-11-12","09:10","09:44","OZ729","8"
"태국","방콕/수완나품","BKK","2024-11-12","09:15","09:31","KE657","80"
"괌","괌","GUM","2024-11-12","09:15","09:32","KE421","30"
"일본","도쿄/나리타","NRT","2024-11-12","09:15","09:34","ZE607","0"
"중국","시안","XIY","2024-11-12","09:15","09:38","KE811","10"
"일본","도쿄/나리타","NRT","2024-11-12","09:20","09:40","RS701","0"
"중국","옌청","YNZ","2024-11-12","09:20","09:46","OZ337","0"
"필리핀","칼리보","KLO","2024-11-12","09:20","09:59","TW139","0"
"중국","베이징/다싱","PKX","2024-11-12","09:25","09:33","CZ316","3"
"중국","옌지(연길)","YNJ","2024-11-12","09:25","09:43","KE117","11"
"일본","센다이","SDJ","2024-11-12","09:30","09:43","OZ152","14"
"미국","디트로이트","DTW","2024-11-12","09:35","09:47","DL158","181"
"일본","오키나와","OKA","2024-11-12","09:35","09:49","OZ172","16"
"일본","후쿠오카","FUK","2024-11-12","09:35","09:51","ZE641","0"
"태국","방콕/수완나품","BKK","2024-11-12","09:35","09:53","TG659","8"
"괌","괌","GUM","2024-11-12","09:35","10:06","LJ913","2"
"일본","오사카/ 간사이","KIX","2024-11-12","09:40","09:54","7C1377","0"
"대만","타이베이","TPE","2024-11-12","09:40","09:57","LJ731","0"
"한국","부산","PUS","2024-11-12","09:40","10:02","KE1407","300"
"미국","애틀랜타","ATL","2024-11-12","09:45","10:04","KE035","157"
"대만","타이베이","TPE","2024-11-12","09:45","10:10","OZ711","10"
"홍콩","홍콩","HKG","2024-11-12","09:50","10:06","7C2101","0"
"미국","뉴욕/존에프케네디","JFK","2024-11-12","09:50","10:49","OZ222","141"
"일본","도쿄/나리타","NRT","2024-11-12","09:55","10:11","KE703","32"
"중국","선전","SZX","2024-11-12","09:55","10:13","OZ371","8"
"마카오","마카오","MFM","2024-11-12","09:55","10:15","NX825","0"
"일본","나고야","NGO","2024-11-12","10:00","10:22","7C1201","0"
"미국","뉴욕/존에프케네디","JFK","2024-11-12","10:00","10:26","KE081","121"
"독일","프랑크푸르트","FRA","2024-11-12","10:00","10:27","TW403","1"
"우즈베키스탄","타슈켄트","TAS","2024-11-12","10:00","11:49","HY512","14"
"괌","괌","GUM","2024-11-12","10:05","10:18","7C3101","0"
"중국","목단강","MDG","2024-11-12","10:05","10:18","KE119","4"
"홍콩","홍콩","HKG","2024-11-12","10:05","10:21","CX417","4"
"중국","샤먼","XMN","2024-11-12","10:05","10:25","KE125","2"
"일본","니가타","KIJ","2024-11-12","10:05","10:30","KE763","13"
"일본","삿포로","CTS","2024-11-12","10:05","10:34","KE765","22"
"일본","후쿠오카","FUK","2024-11-12","10:10","10:20","TW291","2"
"중국","시안","XIY","2024-11-12","10:10","10:23","OZ347","11"
"사이판","사이판","SPN","2024-11-12","10:10","10:28","7C3211","4"
"베트남","다낭","DAD","2024-11-12","10:10","10:32","VN431","2"
"일본","오키나와","OKA","2024-11-12","10:10","10:37","LJ341","2"
"중국","톈진","TSN","2024-11-12","10:15","10:30","KE805","32"
"미국","워싱턴","IAD","2024-11-12","10:15","10:37","KE093","90"
"이집트","카이로","CAI","2024-11-12","10:20","10:39","OZ557","3"
"일본","삿포로","CTS","2024-11-12","10:20","10:40","TW251","4"
"일본","도쿄/나리타","NRT","2024-11-12","10:20","10:46","TW213","1"
"미국","댈러스포트워스","DFW","2024-11-12","10:20","10:54","KE031","124"
"캐나다","토론토","YYZ","2024-11-12","10:20","10:57","KE073","145"
"일본","도쿄/나리타","NRT","2024-11-12","10:20","11:35","LJ205","2"
"중국","웨이하이","WEH","2024-11-12","10:30","10:42","7C8501","2"
"베트남","호찌민","SGN","2024-11-12","10:35","10:50","VN409","9"
"일본","후쿠오카","FUK","2024-11-12","10:35","10:51","7C1403","2"
"인도네시아","자카르타/수카르노하타","CGK","2024-11-12","10:35","10:52","GA879","0"
"베트남","하노이","HAN","2024-11-12","10:35","10:58","VN417","8"
"일본","오사카/ 간사이","KIX","2024-11-12","10:35","11:02","MM702","0"
"일본","도쿄/나리타","NRT","2024-11-12","10:35","11:12","7C1103","3"
"일본","나고야","NGO","2024-11-12","10:35","11:21","KE741","34"
"중국","베이징/서우두","PEK","2024-11-12","10:40","10:56","CA710","2"
"베트남","다낭","DAD","2024-11-12","10:40","11:00","7C2901","0"
"영국","런던/히드로","LHR","2024-11-12","10:40","11:06","KE907","5"
"미국","시카고/오헤어","ORD","2024-11-12","10:40","11:15","KE037","128"
"대만","타이베이","TPE","2024-11-12","10:40","11:27","7C2601","0"
"중국","원저우","WNZ","2024-11-12","10:45","10:47","TW611","5"
"라오스","비엔티안","VTE","2024-11-12","10:50","11:04","QV924","11"
"베트남","호찌민","SGN","2024-11-12","10:50","11:10","VJ863","0"
"일본","후쿠오카","FUK","2024-11-12","10:50","11:14","KE791","7"
"중국","상하이/푸동","PVG","2024-11-12","10:50","11:18","OZ363","9"
"태국","방콕/수완나품","BKK","2024-11-12","10:50","11:23","TG657","1"
"중국","광저우","CAN","2024-11-12","10:55","11:20","CZ340","0"
"이탈리아","로마","FCO","2024-11-12","11:00","11:26","TW405","9"
"마카오","마카오","MFM","2024-11-12","11:00","11:43","7C2001","0"
"일본","오이타","OIT","2024-11-12","11:05","11:31","7C1811","0"
"말레이시아","쿠알라룸푸르","KUL","2024-11-12","11:05","11:33","MH067","6"
"일본","오사카/ 간사이","KIX","2024-11-12","11:05","11:39","KE727","15"
"베트남","하노이","HAN","2024-11-12","11:05","12:02","VJ961","0"
"베트남","다낭","DAD","2024-11-12","11:10","11:47","KE457","15"
"중국","상하이/푸동","PVG","2024-11-12","11:10","11:56","KE897","4"
"스페인","바르셀로나","BCN","2024-11-12","11:15","11:41","OZ511","0"
"일본","후쿠오카","FUK","2024-11-12","11:15","11:58","BX158","0"
"중국","다롄(대련)","DLC","2024-11-12","11:20","11:52","CZ686","1"
"태국","방콕/돈므앙","DMK","2024-11-12","11:20","12:00","XJ701","3"
"멕시코","멕시코시티","MEX","2024-11-12","11:30","13:05","AM091","17"
"일본","오키나와","OKA","2024-11-12","11:35","12:04","ZE631","0"
"중국","우시","WUX","2024-11-12","11:35","12:05","MU2990","0"
"인도네시아","덴파사르","DPS","2024-11-12","11:35","12:21","GA871","4"
"카자흐스탄","알마티","ALA","2024-11-12","11:40","12:03","KC910","14"
"일본","오키나와","OKA","2024-11-12","11:40","12:06","TW271","0"
"대만","타이베이","TPE","2024-11-12","11:40","12:09","BR169","2"
"중국","지난","TNA","2024-11-12","11:45","12:08","SC8002","0"
"브루나이","반다르스리브가완","BWN","2024-11-12","11:50","12:13","BI652","1"
"일본","도쿄/나리타","NRT","2024-11-12","11:50","12:17","7C1105","3"
"일본","오사카/ 간사이","KIX","2024-11-12","11:55","12:08","LJ237","0"
"중국","옌타이","YNT","2024-11-12","11:55","12:14","MU550","1"
"네덜란드","암스테르담","AMS","2024-11-12","11:55","12:20","KE925","3"
"대만","가오슝","KHH","2024-11-12","12:00","12:15","CI165","0"
"일본","후쿠오카","FUK","2024-11-12","12:00","12:23","LJ263","3"
"인도","델리","DEL","2024-11-12","12:05","12:32","AI313","3"
"프랑스","파리/샤를드골","CDG","2024-11-12","12:05","12:34","KE901","17"
"중국","장가계","DYG","2024-11-12","12:10","12:25","RS811","0"
"일본","오사카/ 간사이","KIX","2024-11-12","12:10","12:30","TW283","1"
"스페인","마드리드","MAD","2024-11-12","12:10","12:46","KE913","2"
"중국","상하이/푸동","PVG","2024-11-12","12:15","12:17","CZ314","2"
"중국","난징","NKG","2024-11-12","12:15","12:22","MU580","3"
"프랑스","파리/샤를드골","CDG","2024-11-12","12:15","12:55","AF267","4"
"중국","칭다오","TAO","2024-11-12","12:20","12:25","SC4610","2"
"중국","하얼빈","HRB","2024-11-12","12:20","12:49","OZ339","9"
"대만","타이베이","TPE","2024-11-12","12:25","12:40","CI161","7"
"중국","목단강","MDG","2024-11-12","12:30","12:31","CZ6088","0"
"중국","난징","NKG","2024-11-12","12:30","12:43","OZ349","21"
"중국","항저우","HGH","2024-11-12","12:30","12:44","OZ359","18"
"일본","삿포로","CTS","2024-11-12","12:35","12:47","BX188","0"
"싱가포르","싱가포르","SIN","2024-11-12","12:35","13:00","SQ611","0"
"폴란드","바르샤바","WAW","2024-11-12","12:35","13:09","LO098","3"
"일본","후쿠오카","FUK","2024-11-12","12:40","12:56","OZ134","14"
"일본","가고시마","KOJ","2024-11-12","12:40","12:58","7C1823","0"
"일본","도쿄/나리타","NRT","2024-11-12","12:40","13:02","OZ104","30"
"일본","오사카/ 간사이","KIX","2024-11-12","12:40","13:07","BX174","0"
"미국","샌프란시스코","SFO","2024-11-12","12:45","12:49","UA806","29"
"아랍에미리트","두바이","DXB","2024-11-12","12:45","13:14","KE951","2"
"중국","톈진","TSN","2024-11-12","12:45","13:20","CA172","3"
"중국","다롄(대련)","DLC","2024-11-12","12:50","13:07","KE869","14"
"중국","베이징/서우두","PEK","2024-11-12","12:50","13:26","OZ333","7"
"중국","선양(심양)","SHE","2024-11-12","12:55","13:00","CZ682","2"
"중국","상하이/푸동","PVG","2024-11-12","12:55","13:17","MU5042","2"
"독일","프랑크푸르트","FRA","2024-11-12","12:55","13:35","LH713","4"
"필리핀","마닐라","MNL","2024-11-12","13:00","13:11","Z2885","0"
"중국","항저우","HGH","2024-11-12","13:00","13:13","MU5072","0"
"중국","칭다오","TAO","2024-11-12","13:05","13:23","KE843","10"
"일본","마쓰야마","MYJ","2024-11-12","13:05","13:28","7C1703","0"
"일본","도쿄/나리타","NRT","2024-11-12","13:05","13:42","ZG042","1"
"일본","후쿠오카","FUK","2024-11-12","13:10","13:38","KE789","8"
"중국","베이징/서우두","PEK","2024-11-12","13:10","13:39","CA124","0"
"일본","오사카/ 간사이","KIX","2024-11-12","13:10","13:49","RS713","0"
"중국","칭다오","TAO","2024-11-12","13:15","13:29","MU2034","0"
"중국","샤먼","XMN","2024-11-12","13:20","13:34","MF872","0"
"중국","창춘","CGQ","2024-11-12","13:20","13:44","CZ688","0"
"일본","오키나와","OKA","2024-11-12","13:20","13:47","7C1801","1"
"몽골","신 울란바토르","UBN","2024-11-12","13:20","13:51","OM302","72"
"미국","로스앤젤레스","LAX","2024-11-12","13:20","13:53","YP101","3"
"이탈리아","로마","FCO","2024-11-12","13:20","13:59","OZ561","11"
"대만","가오슝","KHH","2024-11-12","13:25","13:55","TW671","4"
"독일","뮌헨","MUC","2024-11-12","13:30","14:05","LH719","3"
"일본","도쿄/나리타","NRT","2024-11-12","13:35","14:01","KE711","10"
"일본","도쿄/나리타","NRT","2024-11-12","13:40","13:57","NQ022","0"
"홍콩","홍콩","HKG","2024-11-12","13:45","14:03","KE175","5"
"중국","항저우","HGH","2024-11-12","13:45","14:11","CA140","0"
"일본","다카마쓰","TAK","2024-11-12","13:50","14:12","LJ359","0"
"홍콩","홍콩","HKG","2024-11-12","13:50","14:15","CX453","1"
"중국","칭다오","TAO","2024-11-12","14:00","14:22","SC4612","0"
"중국","웨이하이","WEH","2024-11-12","14:00","14:26","MU2018","6"
"대만","타이베이","TPE","2024-11-12","14:00","14:27","OZ713","1"
"한국","부산","PUS","2024-11-12","14:05","14:21","KE1411","34"
"마카오","마카오","MFM","2024-11-12","14:05","14:24","NX821","0"
"홍콩","홍콩","HKG","2024-11-12","14:05","14:37","HB761","0"
"일본","오사카/ 간사이","KIX","2024-11-12","14:10","14:30","OZ114","30"
"중국","상하이/푸동","PVG","2024-11-12","14:10","14:34","OZ365","8"
"중국","시안","XIY","2024-11-12","14:20","14:36","MU5022","0"
"중국","옌지(연길)","YNJ","2024-11-12","14:20","14:40","CA144","2"
"일본","후쿠오카","FUK","2024-11-12","14:25","14:41","RS723","1"
"대만","타이중/칭촨강","RMQ","2024-11-12","14:25","14:43","TW669","1"
"중국","선양(심양)","SHE","2024-11-12","14:25","14:53","KE833","2"
"미국","로스앤젤레스","LAX","2024-11-12","14:30","14:56","KE017","112"
"중국","청두/톈푸","TFU","2024-11-12","14:30","14:59","3U3974","0"
"중국","옌지(연길)","YNJ","2024-11-12","14:35","14:48","CZ6074","4"
"싱가포르","싱가포르","SIN","2024-11-12","14:35","14:54","KE643","6"
"일본","삿포로","CTS","2024-11-12","14:35","15:10","ZE623","0"
"일본","나고야","NGO","2024-11-12","14:40","14:50","7C1203","2"
"미국","로스앤젤레스","LAX","2024-11-12","14:40","15:05","OZ202","128"
"일본","후쿠오카","FUK","2024-11-12","14:45","15:03","TW293","6"
"중국","광저우","CAN","2024-11-12","14:50","15:01","CZ338","0"
"일본","도쿄/나리타","NRT","2024-11-12","14:50","15:15","7C1107","1"
"중국","선전","SZX","2024-11-12","14:55","15:14","ZH634","1"
"홍콩","홍콩","HKG","2024-11-12","15:00","15:20","CX411","2"
"중국","베이징/서우두","PEK","2024-11-12","15:00","15:26","OZ335","5"
"일본","오사카/ 간사이","KIX","2024-11-12","15:00","15:28","LJ235","4"
"일본","오사카/ 간사이","KIX","2024-11-12","15:05","15:18","ZE613","0"
"일본","도쿄/나리타","NRT","2024-11-12","15:05","15:31","BX166","0"
"인도네시아","자카르타/수카르노하타","CGK","2024-11-12","15:05","15:33","KE627","12"
"중국","장사","CSX","2024-11-12","15:10","15:22","CZ3066","0"
"일본","오사카/ 간사이","KIX","2024-11-12","15:10","15:24","KE725","27"
"일본","도쿄/나리타","NRT","2024-11-12","15:10","15:41","LJ207","0"
"대만","타이중/칭촨강","RMQ","2024-11-12","15:10","15:48","KE189","1"
"일본","후쿠오카","FUK","2024-11-12","15:20","15:37","7C1405","5"
"일본","도쿄/나리타","NRT","2024-11-12","15:20","15:46","ZE603","0"
"일본","오사카/ 간사이","KIX","2024-11-12","15:20","15:57","RS715","0"
"일본","오사카/ 간사이","KIX","2024-11-12","15:20","16:01","MM706","0"
"중국","칭다오","TAO","2024-11-12","15:25","15:35","SC4614","1"
"일본","도쿄/나리타","NRT","2024-11-12","15:30","16:14","TW215","0"
"일본","후쿠오카","FUK","2024-11-12","15:35","15:50","ZE643","0"
"일본","도쿄/나리타","NRT","2024-11-12","15:35","15:51","OZ106","30"
"일본","나고야","NGO","2024-11-12","15:35","16:06","OZ124","7"
"일본","오사카/ 간사이","KIX","2024-11-12","15:35","16:10","BX176","1"
"중국","베이징/다싱","PKX","2024-11-12","15:40","15:40","MU2074","3"
"일본","나고야","NGO","2024-11-12","15:40","15:54","LJ347","0"
"인도네시아","덴파사르","DPS","2024-11-12","15:40","16:03","7C5303","0"
"인도네시아","자카르타/수카르노하타","CGK","2024-11-12","15:40","16:12","OZ761","22"
"일본","오사카/ 간사이","KIX","2024-11-12","15:45","16:22","7C1375","1"
"홍콩","홍콩","HKG","2024-11-12","15:55","16:16","UO631","0"
"일본","오사카/ 간사이","KIX","2024-11-12","15:55","16:18","TW285","0"
"일본","오사카/ 간사이","KIX","2024-11-12","16:00","16:26","OZ118","15"
"미국","샌프란시스코","SFO","2024-11-12","16:00","16:34","KE023","56"
"미얀마","양곤","RGN","2024-11-12","16:05","16:20","8M802","1"
"중국","옌타이","YNT","2024-11-12","16:05","16:24","MU268","1"
"일본","시즈오카","FSZ","2024-11-12","16:05","16:30","7C1603","1"
"태국","치앙마이","CNX","2024-11-12","16:05","17:00","LJ009","8"
"미국","시애틀","SEA","2024-11-12","16:10","16:47","KE041","92"
"중국","광저우","CAN","2024-11-12","16:15","16:28","CZ3062","0"
"중국","타이위안","TYN","2024-11-12","16:15","16:32","HO1630","0"
"대만","타이베이","TPE","2024-11-12","16:15","16:36","KE187","10"
"일본","후쿠오카","FUK","2024-11-12","16:20","16:38","7C1407","0"
"중국","상하이/푸동","PVG","2024-11-12","16:20","16:40","MU5034","20"
"싱가포르","싱가포르","SIN","2024-11-12","16:20","16:49","OZ751","10"
"일본","도쿄/나리타","NRT","2024-11-12","16:20","16:54","7C1121","1"
"태국","방콕/돈므앙","DMK","2024-11-12","16:30","16:52","XJ709","6"
"일본","도쿄/나리타","NRT","2024-11-12","16:40","16:57","RS703","0"
"말레이시아","쿠알라룸푸르","KUL","2024-11-12","16:40","17:03","KE671","28"
"싱가포르","싱가포르","SIN","2024-11-12","16:45","17:15","SQ601","1"
"태국","방콕/수완나품","BKK","2024-11-12","16:50","17:05","BX747","0"
"베트남","푸꾸옥","PQC","2024-11-12","16:50","17:12","KE485","9"
"일본","오사카/ 간사이","KIX","2024-11-12","16:55","17:09","7C1305","3"
"일본","도쿄/나리타","NRT","2024-11-12","16:55","17:14","KE713","9"
"태국","푸켓","HKT","2024-11-12","16:55","17:21","KE663","26"
"태국","방콕/수완나품","BKK","2024-11-12","17:05","17:17","ZE511","1"
"베트남","푸꾸옥","PQC","2024-11-12","17:05","17:35","LJ091","0"
"베트남","푸꾸옥","PQC","2024-11-12","17:10","17:23","ZE581","0"
"태국","방콕/수완나품","BKK","2024-11-12","17:10","18:50","LJ001","0"
"일본","후쿠오카","FUK","2024-11-12","17:20","17:47","LJ265","0"
"태국","방콕/수완나품","BKK","2024-11-12","17:20","18:31","KE651","87"
"태국","방콕/수완나품","BKK","2024-11-12","17:25","17:42","YP601","1"
"태국","치앙마이","CNX","2024-11-12","17:25","18:44","ZE517","1"
"중국","다롄(대련)","DLC","2024-11-12","17:30","17:31","CZ696","0"
"태국","방콕/수완나품","BKK","2024-11-12","17:30","17:49","TG653","5"
"중국","상하이/푸동","PVG","2024-11-12","17:40","18:12","9C8560","0"
"태국","푸켓","HKT","2024-11-12","17:45","18:28","LJ005","9"
"중국","베이징/서우두","PEK","2024-11-12","17:50","17:56","CA126","3"
"아랍에미리트","아부다비","AUH","2024-11-12","17:50","18:01","EY823","30"
"카자흐스탄","알마티","ALA","2024-11-12","17:50","18:15","OZ577","59"
"미국","애틀랜타","ATL","2024-11-12","17:50","18:19","DL188","127"
"중국","푸저우","FOC","2024-11-12","17:55","17:52","MF878","2"
"베트남","푸꾸옥","PQC","2024-11-12","18:00","18:26","7C4103","0"
"미국","샌프란시스코","SFO","2024-11-12","18:00","18:53","UA892","19"
"베트남","나트랑","CXR","2024-11-12","18:05","18:17","KE465","9"
"태국","방콕/수완나품","BKK","2024-11-12","18:05","18:24","OZ741","18"
"필리핀","마닐라","MNL","2024-11-12","18:05","18:35","7C2305","11"
"베트남","하노이","HAN","2024-11-12","18:05","18:38","VN415","5"
"뉴질랜드","오클랜드","AKL","2024-11-12","18:10","18:30","KE411","51"
"일본","후쿠오카","FUK","2024-11-12","18:10","18:46","TW295","9"
"일본","후쿠오카","FUK","2024-11-12","18:15","18:33","OZ136","21"
"한국","부산","PUS","2024-11-12","18:15","18:37","KE1415","316"
"말레이시아","코타키나발루","BKI","2024-11-12","18:15","18:42","TW169","1"
"미국","시애틀","SEA","2024-11-12","18:15","18:48","OZ272","132"
"캐나다","밴쿠버","YVR","2024-11-12","18:20","19:05","AC064","97"
"중국","상하이/푸동","PVG","2024-11-12","18:25","18:40","FM828","5"
"캐나다","밴쿠버","YVR","2024-11-12","18:30","18:59","KE071","143"
"캄보디아","프놈펜","PNH","2024-11-12","18:30","19:20","KE689","123"
"베트남","호찌민","SGN","2024-11-12","18:30","20:03","KE475","188"
"싱가포르","싱가포르","SIN","2024-11-12","18:35","19:07","KE645","37"
"필리핀","마닐라","MNL","2024-11-12","18:35","19:55","KE623","196"
"한국","대구","TAE","2024-11-12","18:40","18:55","KE1433","150"
"일본","후쿠오카","FUK","2024-11-12","18:40","19:03","KE781","26"
"일본","도쿄/나리타","NRT","2024-11-12","18:40","19:18","OZ108","15"
"베트남","하노이","HAN","2024-11-12","18:40","19:32","KE453","87"
"호주","시드니","SYD","2024-11-12","18:45","19:01","KE401","2"
"일본","도쿄/나리타","NRT","2024-11-12","18:45","19:09","KE705","23"
"베트남","다낭","DAD","2024-11-12","18:45","19:11","KE461","81"
"베트남","다낭","DAD","2024-11-12","18:45","19:24","OZ755","10"
"미국","댈러스포트워스","DFW","2024-11-12","18:50","19:13","AA280","39"
"싱가포르","싱가포르","SIN","2024-11-12","18:50","19:16","TW171","4"
"필리핀","세부","CEB","2024-11-12","18:50","19:41","KE615","94"
