English_City,Korean_City,Time_Difference_vs_Seoul_Hours
Afutara,아푸타라,+2
QuangNinh,꽝닌,-2
Kingman,킹맨,-16
Gwalior,괄리오르,-3.5
Polokwane,폴로콰네,-7
Pedernales,페데르날레스,-14
Lichinga,리싱가,-7
Chimbote,침보테,-14
Ann,앤,-13
Andenes,안데네스,-7
Sicogon,시코곤,-1
Angama Mara,안가마 마라,-6
Red Lake,레드 레이크,-15
Sanliurfa,샨리우르파,-6
Lagos,라고스,-8
Moser Bay,모저 베이,-17
Qianjiang,첸장,-1
SanJulian,산 줄리안,-14
Mengomeyen,멘고메옌,-8
Koromiko,코로미코,+3
Gustavus,구스타부스,-17
Fuzhou,푸저우,-1
Palopo,팔로포,-2
Hanzhong,한중,-1
Scammon Bay,스캐먼 베이,-18
San Marcos,산 마르코스,-15
DongHoi,동허이,-2
Saravena,사라베나,-14
Albuquerque,앨버커키,-15
Amarillo,아마릴로,-15
Kerki,케르키,-4
Fairbanks,페어뱅크스,-17
Hof,호프,-7
Kokoda,코코다,+1
Kutahya,쿠타히아,-6
Chios Island,히오스 제도,-7
Kushinagar,쿠시나가르,-3.5
Al Hoceima,알호세이마,-8
Mamuju,마무주,-1
Bora Bora,보라보라,-20
Mzuzu,므주주,-7
Chimoio,시모이오,-7
Guyuan,구위안,-1
Corrientes,코리엔테스,-12
Phitsanulok,피차눌록,-2
Baishan,바이산,-1
Ujae Island,우자에 제도,+3
Montauk,몬톡,-13
Kandy,캔디,-3.5
Stuart Island,스튜어트 아일랜드,-16
Kaben,카벤,+3
Braunfels,브라운펠스,-7
Kyaukpyu,차우크퓨,-2.5
Altai,알타이,-1
Mana Island,마나 제도,+3
Red Dog,레드 도그,-17
Keewaywin,키웨이윈,-15
Salisbury,솔즈베리,-13
Johor Bahru,조호르바루,-1
Rukumkot,루쿰코트,-3.75
Daporijo,다포리조,-3
Pakse,팍세,-2
Rurutu,루루투,-19
Essen,에센,-7
Ust-Kamenogorsk,우스티 카메노고르스크,-4
Bogorodskoye,보고로드스코예,+1
Valverde,발베르데,-8
Alor Setar,알로르 스타르,-1
AlHamra,알함라,-5
Batman,바트만,-6
Out Skerries,아웃 스커리즈,-8
Bhopal,보팔,-3.5
Mareeba,마리바,+1
Toliara,툴리아라,-6
Bedford,베드포드,-13
Weerawila,위라윌라,-3.5
Xigaze,시가체,-1
Goiania,고이아니아,-12
Bhubaneswar,부바네스와르,-3.5
Liupanshui,류판수이,-1
Antwerp,안트베르펜,-7
Santo Domingo,산토 도밍고,-14
Vanavara,바나바라,-2
Ondangwa,온당과,-7
Wanaka,와나카,+3
Bentota,벤토타,-3.5
Sevilla,세비야,-7
Staunton-Waynesboro,스톤튼-웨인즈버러,-13
Khabarovsk,하바롭스크,+1
Tyumen,튜멘,-4
Guarapari,과라파리,-12
Muzaffarpur,무자파르푸르,-3.5
Peawanuck,피아와누크,-15
Coober Pedy,쿠버페디,+0.5
Mare,마레,+2
Tofino,토피노,-16
Vinnytsia,빈니차,-7
Friedrichshafen,프리드리히스하펜,-7
Punta Gorda,푼타 고르다,-15
Naples,나폴리,-7
Bechar,베샤르,-8
Okha,오카,+2
Radom,라도미,-7
Kiana,키아나,-17
Bella Bella,벨라 벨라,-16
Keshod,케쇼드,-3.5
Bharatpur,바라트푸르,-3.75
Cascavel,카스카벨,-12
Healy Lake,힐리 레이크,-17
Vila Rica,빌라 히카,-13
Xingtai,싱타이,-1
Xinzhou,신저우,-1
Siwa Oasis,시와 오아시스,-7
Ust-Kut,우스티 쿠트,-3
Stockholm,스톡홀름,-7
Miles City,마일즈 시티,-15
Rigolet,리고렛,-13.5
Karlsruhe,카를스루에,-7
Namangan,나망간,-4
Funafuti,푸나푸티,+3
Bujumbura,부줌부라,-7
Torreon,토레온,-15
Caceres,카세레스,-7
MedellIn,메데인,-14
Isafjrour,이사피요르뒤르,-9
Udon Thani,우돈타니,-2
Vancouver,밴쿠버,-16
Hopkinsville,홉킨스빌,-14
Melo,멜로,-12
Santiago,산티아고,-13
Tubuai,투부아이,-19
Kastamonu,카스타모누,-6
Yushu,위수,-1
Palma de Mallorca,팔마 데 마요르카,-7
Kamishly,카미쉴리,-6
Kuujjuaq,쿠주아크,-14
Barreirinhas,바헤이리냐스,-12
Saarbrcken,자르브뤼켄,-7
Muscat,무스카트,-5
Lopburi,롭부리,-2
Nonouti,노노우티,+3
Makhachkala,마하치칼라,-6
Kulob,쿨롭,-4
Port of Spain,포트 오브 스페인,-13
Chetumal,체투말,-15
Santa Rosa,산타 로사,-12
Utila,우틸라,-15
Freeport,프리포트,-14
White Mountain,화이트 마운틴,-18
Pasir Pangaraian,파시르 판가라이안,-2
Valenca,발렌사,-12
Monastir,모나스티르,-8
Corozal,코로살,-15
Palembang,팔렘방,-2
Cape Lisburne,케이프 리스번,-17
Bjorkvik,비오르크비크,-7
Newcastle,뉴캐슬,-8
East London,이스트 런던,-7
Meghauli,메가울리,-3.75
Barcelona,바르셀로나,-7
Peterborough,피터버러,-13
Bukavu,부카부,-7
Pevek,페베크,+1
St Andrew Parish,세인트 앤드류 패리시,-13
Kikori,키코리,+1
Broken Hill,브로큰 힐,+0.5
Tioman Island,티오만 제도,-1
Pohang,포항,+0
Olga Bay,올가 베이,-17
Belfast,벨파스트,-8
Maiduguri,마이두구리,-8
Crescent City,크레센트 시티,-16
Sorong,소롱,+0
Sumarorong,수마로롱,-1
Guayaquil,과야킬,-14
Wotje Atoll,워체 아톨,+3
Jingzhou,징저우,-1
Sakon Nakhon,사콘나콘,-2
Mardin,마르딘,-6
Duluth,덜루스,-14
Rukum Salle,루쿰 살레,-3.75
Luwuk,루우크,-1
Sao Tome,상투메,-8
Meekatharra,미카타라,-1
Mehamn,메함,-7
Manja,만자,-6
Braganca,브라간사,-12
Athens,아테네,-7
Tanga,탕가,-6
Mason City,메이슨 시티,-14
Durazno,두라스노,-12
Ithaca,이타카,-13
Zonalnoe,조날노예,+0
Lubuklinggau,루북링가우,-2
GuayaramerIn,과야라메린,-13
StEustatius,세인트 유스타티우스,-13
Mamitupo,마미투포,-14
Luena,루에나,-8
Hermosillo,에르모시요,-16
Arauca,아라우카,-14
Lucknow,러크나우,-3.5
Rajahmundry,라자문드리,-3.5
Jeremie,제레미,-14
Virginia,버지니아,-14
Storuman,스토루만,-7
Homer,호머,-17
Dambulla,담불라,-3.5
Ko Samui,코사무이,-2
Minot,마이넛,-15
Lanzhou,란저우,-1
Khotang,코탕,-3.75
Bien Hoa,비엔호아,-2
Quetzaltenango,케찰테낭고,-15
Evansville,에번스빌,-14
Zweibrcken,츠바이브뤼켄,-7
Rodez,로데즈,-7
Takapoto,타카포토,-19
Tolanaro,톨라나루,-6
Enfidha,엔피다,-8
Algiers,알제,-8
Juneau,주노,-17
Bourke,버크,+1
Khartoum,하르툼,-7
Sydney,시드니,+1
Irkutsk,이르쿠츠크,-1
Singkep,싱켑,-2
The Valley,더 밸리,-13
Kelowna,켈로나,-16
Yangyang,양양,+0
El Bayadh,엘 바야드,-8
Sumbawa,숨바와,-1
Terceira Island,테르세이라 제도,-9
Cuiaba,쿠이아바,-13
Tarapoto,타라포토,-14
Salvador,살바도르,-12
Kapalua,카팔루아,-19
Semera,세메라,-6
Goma,고마,-7
Owensboro,오언즈버러,-14
Brunswick,브런즈윅,-13
GazipaSa,가지파샤,-6
Coldfoot,콜드풋,-17
Guanaja,과나하,-15
Djibouti,지부티,-6
Swansea,스완지,-8
Havasupai,하바수파이,-16
Hakodate,하코다테,+0
Yichang,이창,-1
Marseille,마르세유,-7
Chichijima,지치지마,+0
Zagora,자고라,-8
Tucuman,투쿠만,-12
Lulea,룰레오,-7
Raxaul,락사울,-3.75
Ancenis,앙세니스,-7
Qitai,치타이,-1
Aguaclara,아과클라라,-14
Stillwater,스틸워터,-15
Shymkent,심켄트,-4
Bologna,볼로냐,-7
Yoshkar-Ola,요슈카르올라,-6
Karup,카루프,-7
Ulei,울레이,+2
Yonago,요나고,+0
Kristiansund,크리스티안순,-7
Poznan,포즈난,-7
Shirdi,시르디,-3.5
Northway,노스웨이,-17
Doncaster,돈캐스터,-8
Sitka,싯카,-17
BrasIlia,브라질리아,-12
Heligoland,헬골란트,-7
Mbombela,음봄벨라,-7
Kerteh,케르테,-1
Dali,다리,-1
Lappeenranta,라펜란타,-7
Kish Island,키시 섬,-5.5
Lankaran,란카란,-5
odate-Noshiro,오다테-노시로,+0
Huambo,후암보,-8
Valdivia,발디비아,-12
Krasnodar,크라스노다르,-6
Vero Beach,베로 비치,-13
Hami,하미,-1
Timbiqui,팀비퀴,-14
Poltava,폴타바,-7
Simla,심라,-3.5
Tulcan,툴칸,-14
Lucas do Rio Verde,루카스 두 리우 베르지,-13
Spring Point,스프링 포인트,-14
Sukkur,수쿠르,-4
Okayama,오카야마,+0
Duqm,둠,-5
Tuluksak,툴룩삭,-17
Cortes+M4296,코르테스+M4296,-15
Punta Arenas,푼타 아레나스,-12
Kutaisi,쿠타이시,-5
Onslow,온슬로,-1
Mineralnye Vody,미네랄니예 보디,-6
Nazca,나스카,-14
Foya,포야,-8
East Midlands,이스트 미들랜즈,-8
Puerto Barrios,푸에르토 바리오스,-15
Mexicali,멕시칼리,-16
Longana,롱가나,+2
Yakutsk,야쿠츠크,+0
Mogilev,모길료프,-7
Uummannaq,우마나크,-12
Calabar,칼라바르,-8
Almaty,알마티,-4
Dawei,다웨이,-2
Tacna,타크나,-14
Carcassonne,카르카손,-7
Wick,윅,-8
orsta-Volda,오르스타-볼다,-7
San Salvador,산 살바도르,-15
Hay River,헤이 리버,-15
Kabri Dar,카브리 다르,-6
St. George,세인트 조지,-16
Ampara,암파라,-3.5
Kimberley,킴벌리,-7
Beni,베니,-7
Aurukun,오루쿤,+1
Podgorica,포드고리차,-7
Coondewanna,쿤데와나,-1
Valdez,발데즈,-17
Kolaka,콜라카,-1
Rengat,렝갓,-2
Sirsa,시르사,-3.5
Bam,밤,-5.5
Sabang,사방,-2
Wiarton,와이어턴,-14
Biak,비아크,+0
Wuxi,우시,-1
Woitape,워이타페,+1
Tete-a-la-Baleine,테트 아 라 발렌,-13.5
Molde,몰데,-7
Zaporizhzhia,자포리자,-7
Wotho Atoll,워토 아톨,+3
Sochi,소치,-6
Pavlodar,파블로다르,-4
Bangalore,방갈로르,-3.5
Yancheng,옌청,-1
Tacoma,타코마,-16
Petersburg,피터즈버그,-17
Alar,알라르,-1
L'Aquila,라퀼라,-7
Touggourt,투구르트,-8
Khorramabad,코라마바드,-5.5
Togiak,토기아크,-17
Fengning,펑닝,-1
Dalbandin,달반딘,-4.5
Fort Wainwright,포트 웨인라이트,-17
Neuquen,네우켄,-12
Adak Island,아닥 제도,-18
Sarasota,새러소타,-13
Evadale,에버데일,-15
Serra Talhada,세라 탈하다,-12
Foggia,포자,-7
Tashkent,타슈켄트,-4
Odienne,오디엔네,-8
Surat Thani,수랏타니,-2
Upington,어핑턴,-7
Gao,가오,-8
Tenerife,테네리페,-9
Bosaso,보사소,-6
Thargomindah,타르고민다,+1
Tabiteuea South,타비테우아 사우스,+3
Rangiroa,랑기로아,-19
SAlen,살렌,-7
Ifuru,이푸루,-4
Mont-Tremblant,몽 트랑블랑,-13
PrIncipe Island,프린시페 섬,-9
Carauari,카라우아리,-14
Oban,오번,-8
Chelyabinsk,첼랴빈스크,-4
Likoma Island,리코마 제도,-7
Kearney,커니,-15
Kraljevo,크랄례보,-7
Lampang,람빵,-2
Holy Cross,홀리 크로스,-17
Linyi,린이,-1
West Yellowstone,웨스트 옐로스톤,-16
Calama,칼라마,-13
Khon Kaen,콘깬,-2
Belgrade,베오그라드,-7
Ancona,안코나,-7
Saint-Nazaire,생나제르,-7
Biarritz,비아리츠,-7
Washington,워싱턴,-13
Boca Raton,보카 라톤,-13
Logan,로건,-16
Creel,크리엘,-15
Madang,마당,+1
Bendigo,벤디고,+1
Narok,나로크,-6
Vladivostok,블라디보스토크,+1
Taizhou,타이저우,-1
Butaritari Atoll,부타리타리 아톨,+3
Brussels,브뤼셀,-7
Qala i Naw,칼라이나우,-4.5
Bayamo,바야모,-14
Al-Baha,알 바하,-6
Mount Clemens,마운트 클레멘스,-13
Kuala Lumpur,쿠알라룸푸르,-1
Igarka,이가르카,-2
Enewetak,에네웨타크,+3
Abadan,아바단,-5.5
Chumikan,추미칸,+1
TarinKot,타린 코트,-4.5
Chambery,샹베리,-7
Antananarivo,안타나나리보,-6
Berlevag,베르레보그,-7
Anaktuvuk Pass,아낙투부크 패스,-17
Sonderborg,쇠네르보르,-7
Pangnirtung,팡니르퉁,-14
Sun City,선 시티,-16
Escanaba,이스카나바,-14
Indore,인도르,-3.5
Greensburg,그린즈버그,-13
Orlando,올랜도,-13
Reynosa,레이노사,-15
Brampton Island,브램프턴 아일랜드,+1
Pajala,파얄라,-7
NamroleBuru,남롤레부루,+0
Moscow,모스크바,-6
Niamey,니아메,-8
Yulin,위린,-1
SonLa,선라,-2
Hoolehua,훌레후아,-19
Miles,마일즈,-15
Savoonga,사붕가,-18
Oyo,오요,-8
Kigoma,키고마,-6
Menorca,메노르카,-7
Erzincan,에르진잔,-6
Barimunya,바리문야,-1
Choibalsan,초이발산,-1
Tortola,토르톨라,-13
Barter Island,바터 아일랜드,-17
Iberia,이베리아,-13
Kolo,콜로,-8
Cruzeiro do Sul,크루제이루 두 술,-14
Oslo,오슬로,-7
Bagan/Nyaung,바간/냐웅우,-2.5
Miyazaki,미야자키,+0
Weihai,웨이하이,-1
Tojo Una Una,토조 우나 우나,-1
Turin,토리노,-7
Stuttgart,슈투트가르트,-7
Stevens Village,스티븐스 빌리지,-17
Cairns,케언스,+1
NevSehir,네브셰히르,-6
Palmerston North,파머스턴 노스,+3
Kariba,카리바,-7
Astypalaia,아스티팔라이아,-7
Yanbu,얀부,-6
Addis Ababa,아디스아바바,-6
Zadar,자다르,-7
Ambatomainty,암바토마인티,-6
Anahim Lake,아나힘 레이크,-16
Kamloops,캠루프스,-16
Kosrae,코스라에,+2
Xi'an,시안,-1
Yahukimo,야후키모,+0
Roma,로마,-7
Khajuraho,카주라호,-3.5
Evensk,예벤스크,+1
Hollywood,할리우드,-16
Moses Lake,모세스 레이크,-16
Essaouira,에사우이라,-8
Burketown,버크타운,+1
Alderney,올더니,-8
Gold Coast,골드 코스트,+1
Launceston,론서스턴,+1
Wenatchee,웨내치,-16
Fort Leonard Wood,포트 레너드 우드,-14
Leeds-Bradford,리즈-브래드포드,-8
Grumeti,그루메티,-6
Karaganda,카라간다,-4
Grafton,그래프턴,-13
Sion,시옹,-7
Rennell Island,레넬 제도,+2
Armenia,아르메니아,-14
Sliac,슬리아치,-7
Marinduque Island,마린두케 제도,-1
Ariquemes,아리케메스,-13
Araxa,아라샤,-12
Inishmaan,이니시맨,-8
Tokushima,도쿠시마,+0
Sohag,소하그,-7
Grand Turk Island,그랜드 터크 아일랜드,-14
Fuerteventura,푸에르테벤투라,-8
Uyo,우요,-8
Riga,리가,-7
Ekwok,에크워크,-17
Sidney,시드니,-16
Sand Point,샌드 포인트,-17
Palmar Sur,팔마르 수르,-15
Nagpur,나그푸르,-3.5
Winton,윈튼,+1
Comox,코목스,-16
Livingstone,리빙스턴,-7
Kinshasa,킨샤사,-8
Klemtu,클렘투,-16
Wakaya Island,와카야 제도,+3
Vadso,바드쇠,-7
Murmansk,무르만스크,-6
Kosice,코시체,-7
Owerri,오웨리,-8
Sangar,상가르,+0
Malang,말랑,-2
Kununurra,쿠누누라,-1
Balikpapan,발릭파판,-1
El Salvador,엘살바도르,-15
Larnaca,라르나카,-7
Chersky,체르스키,+1
Rabaul,라바울,+1
Dezful,데즈풀,-5.5
Scottsbluff,스콧츠블러프,-15
Manley Hot Springs,맨리 핫 스프링스,-17
Tennant Creek,테넌트 크릭,+0.5
Guaymas,과이마스,-15
Shageluk,샤게룩,-18
Uruapan,우루아판,-15
Egilsstaoir,에이일스타디르,-9
Zunyi,쭌이,-1
Tandag,탄닥,-1
Takengon,타켕온,-2
Pagadian,파가디안,-1
Pueblo,푸에블로,-15
Naxos,낙소스,-7
Patras,파트라스,-7
Popondetta,포폰데타,+1
Ouargla,와르글라,-8
Datadawai,다타다와이,-2
Clyde River,클라이드 리버,-14
Bremen,브레멘,-7
San Cristobal,산 크리스토발,-14
Visalia,비살리아,-16
Esquel,에스켈,-12
Bridgeport,브리지포트,-13
Severo-Kurilsk,세베로쿠릴스크,+2
Jakarta,자카르타,-2
Ocean Falls,오션 폴스,-16
Albacete,알바세테,-7
Nosara,노사라,-15
Catania,카타니아,-7
Mejit Island,메지트 제도,+3
Dumai,두마이,-2
Pristina,프리슈티나,-7
North Bay,노스 베이,-14
Erbil,에르빌,-6
Umea,우메오,-7
Pellston,펠스턴,-14
Nuwara Eliya,누와라 엘리야,-3.5
Attawapiskat,아타와피스캇,-14
Vieste,비에스테,-7
Orvakal,오르바칼,-3.5
Goodyear,굿이어,-16
Doha,도하,-6
Naracoorte,나라코르테,+0.5
Sirnak,시르낙,-6
Philadelphia,필라델피아,-13
Neubrandenburg,노이브란덴부르크,-7
Weipa,웨이파,+1
Cap-Haitien,카프아이티엥,-14
El Alamein,엘 알라메인,-7
La Ceiba,라 세이바,-15
Funchal,푼샬,-9
Akola,아콜라,-3.5
Amritsar,암리차르,-3.5
Graz,그라츠,-7
Thimarafushi,티마라푸시,-4
Torres,토레스,-12
Osh,오시,-4
Guwahati,구와하티,-3.5
Osaka,오사카,+0
Quincy,퀸시,-13
Reao,레아오,-19
Bratsk,브라츠크,-3
Khost,호스트,-4.5
St. Moritz,장크트모리츠,-7
Damazin,다마진,-6
Riverton,리버튼,-15
Dangriga,당리가,-15
Baykit,바이키트,-2
Taiz,타이즈,-6
Bukoba,부코바,-6
Andamooka,안다무카,+0.5
Grayling,그레이링,-17
Los angeles,로스앤젤레스,-16
Raivavae,라이바바에,-19
Katherine,캐서린,+0.5
Split,스플리트,-7
Hanimaadhoo,하니마두,-4
Alpine,알파인,-15
Newark,뉴어크,-13
Kogalym,코갈림,-4
Chuathbaluk,추앗발룩,-17
Tokunoshima,도쿠노시마,+0
Teruel,테루엘,-7
TamuIn,탐윈,-15
Las Tunas,라스 투나스,-14
Kiriwina Island,키리위나 제도,+1
Maastricht,마스트리흐트,-7
Vienna,비엔나,-7
Samarkand,사마르칸트,-4
Kufra,쿠프라,-7
Abu Simbel,아부 심벨,-7
Puttaparthi,푸타파르티,-3.5
Jambi,잠비,-2
Aligarh,알리가르,-3.5
Trinidad,트리니다드,-13
Wadi Halfa,와디 할파,-7
Petropavlovsk,페트로파블롭스크,-4
Paro,파로,-3
Ankavandra,안카반드라,-6
Tainan,타이난,-1
Saranac Lake,사라낙 레이크,-13
Tabarka,타바르카,-8
Matam,마탐,-8
Agen,아쟁,-7
South Caicos,사우스 카이코스,-14
Canaima,카나이마,-13
Kake,카케,-17
Puebla,푸에블라,-15
Kasane,카사네,-7
Eau Claire,오클레어,-14
Waterloo,워털루,-14
Chofu,조후,+0
Qeshm,퀘슘,-5.5
Lleida,레이다,-7
Qaisumah-Hafar al-Batin,카이수마-하파르 알 바틴,-6
Maavarulu,마아바루루,-4
Sao Paulo,상파울루,-12
Maasin,마아신,-1
Belleville,벨빌,-14
Hargeisa,하르게이사,-6
Guangzhou,광저우,-1
Gaborone,가보로네,-7
Mulhouse,뮐루즈,-7
Enugu,에누구,-8
Poplar Hill,포플러 힐,-14
Toluca,톨루카,-15
Butuan,부투안,-1
Nepalgunj,네팔군지,-3.75
Tezpur,테즈푸르,-3
Morelia,모렐리아,-15
Kerben,케르벤,-4
Baton Rouge,배턴 루지,-15
Oyem,오옘,-8
Makassar,마카사르,-1
Sipora,시포라,-2
Tufi,투피,+1
Tortuguero,토르투게로,-15
Nakhchivan,나흐치반,-5
Basel,바젤,-7
Vilhena,빌헤나,-13
Sindal,신달,-7
Yongzhou,융저우,-1
Kaghau Island,카가우 제도,+2
Goya,고야,-12
Lages,라제스,-12
Riberalta,리베랄타,-13
Malarge,말라르게,-12
Alliance,얼라이언스,-15
Tacheng,타청,-3
Solomon,솔로몬,-17
Tehran,테헤란,-5.5
Levuka,레부카,+3
Jeypore,제이푸르,-3.5
Oberpfaffenhofen,오버파펜호펜,-7
Reconquista,레콘키스타,-12
Irece,이레세,-12
Bossier City,보시어 시티,-15
Culiacan,쿨리아칸,-15
Longnan,룽난,-1
Puerto Montt,푸에르토 몬트,-12
TrollhAttan-VAnersborg,트롤헤탄-베네르스보리,-7
Puvirnituq,푸비르니투크,-14
Pullman,풀먼,-16
Emerald,에메랄드,+1
Idaho Falls,아이다호 폴스,-16
Gander,갠더,-12.5
Walla Walla,왈라왈라,-16
Lansdowne,랜스다운,-13
Page,페이지,-16
Point Baker,포인트 베이커,-17
Ofu Island,오푸 제도,-20
Bilbao,빌바오,-7
Cordova,코르도바,-17
Tena,테나,-14
Cross Lake,크로스 레이크,-15
Kingston,킹스턴,-13
Jengjal Baljek,젱잘 발제크,-3
La Chorrera,라 초레라,-14
Yonaguni,요나구니,+0
Quelimane,켈리마네,-7
Maraba,마라바,-12
Ormoc,오르모크,-1
Iles-de-la-Madeleine,일 드 라 마들렌,-13
Papa Stour,파파 스투어,-8
Kenosha,케노샤,-14
Yuncheng,윈청,-1
Detroit,디트로이트,-13
Oecussi,오쿠시,-0
BahIa Blanca,바이아 블랑카,-12
Arua,아루아,-6
Mo i Rana,모 이 라나,-7
Neiva,네이바,-14
Agra,아그라,-3.5
Stella Maris,스텔라 마리스,-14
O'Neill,오닐,-15
Piestany,피에슈챠니,-7
Lincang,린창,-1
Chennai,첸나이,-3.5
Subic Bay,수빅만,-1
Repulse Bay,리펄스 베이,-14
Shenyang,선양,-1
Amboseli,암보셀리,-6
NewValley,뉴밸리,-7
West Chicago,웨스트 시카고,-14
Sanana Island,사나나 제도,-1
Baramati,바라마티,-3.5
Bangui,방기,-8
Igiugig,이기우지그,-17
Bellary,벨라리,-3.5
Gelephu,겔레푸,-3
Ellisras,엘리스라스,-7
Sandy Lake,샌디 레이크,-15
Achutupo,아추투포,-14
Pikangikum,피칸지쿰,-15
Roswell,로즈웰,-15
Kuujjuarapik,쿠유아라픽,-14
Polyarny,폴랴르니,-6
Andavadoaka,안다바도아카,-6
Ballera gas plant,발레라 가스 플랜트,+1
Sao Gabriel da Cachoeira,상 가브리엘 다 카초에이라,-14
Marmul,마르물,-5
Long Apung,롱아풍,-2
Santa Ana Island,산타 아나 제도,+2
UstKuyga,우스티 쿠이가,+0
Ordu/Giresun,오르두/기레순,-6
Maribor,마리보르,-7
Shillong,실롱,-3
Jebel Ali,제벨 알리,-5
Guasdualito,과스두알리토,-14
Den Helder,덴 헬데르,-7
Qamdo,캄도,-1
Tasikmalaya,타식말라야,-2
Kharkiv,하르키우,-7
Gorno-Altaysk,고르노알타이스크,-2
Trang,트랑,-2
Kotzebue,코체부,-17
Moomba,뭄바,+0.5
Mykolaiv,미콜라이우,-7
MaturIn,마투린,-13
Bayda,바이다,-7
Aqaba,아카바,-6
Flint,플린트,-14
Ciudad Real,시우다드 레알,-7
Dickinson,디킨슨,-15
Yingkou,잉커우,-1
Auckland,오클랜드,+3
Alta Floresta,알타 플로레스타,-13
Kimmirut,킴미루트,-14
Guangyuan,광위안,-1
Yasuj,야수즈,-5.5
Mili Atoll,밀리 아톨,+3
Satna,사트나,-3.5
Points North Landing,포인트 노스 랜딩,-15
Poso,포소,-1
Haugesund,하우게순,-7
Oxford House,옥스포드 하우스,-15
CayeChapel,케이 채플,-15
Inisheer,이니시맨,-8
Vanua Balavu,바누아 발라부,+3
Prerov,프르제로프,-7
Port Hope,포트 호프,-13
Quimper,캥페르,-7
Tubala,투발라,-14
Ilorin,일로린,-8
Amravati,아므라바티,-3.5
Tengchong,텅충,-1
Akhiok,아키오크,-17
Kuala Terengganu,쿠알라 테렝가누,-1
Perryville,페리빌,-17
Mosinee,모시니,-14
Buriram,부리람,-2
Coen,코엔,+1
Baia Mare,바이아 마레,-7
Ras Sidr,라스 시드르,-7
Franceville,프랑스빌,-8
Zhytomyr,지토미르,-7
Tabiteuea North,타비테우아 노스,+3
Jacmel,자크멜,-14
Homa Bay,호마 베이,-6
Guam,괌,+1
Laghouat,라구앗,-8
Colombo,콜롬보,-3.5
Hengchun,헝춘,-1
Yantai,옌타이,-1
Mundra,문드라,-3.5
Ndende,은덴데,-8
Cluj-Napoca,클루지나포카,-7
Baguio,바기오,-1
Port-de-Paix,포르데페,-14
Bornholm,보른홀름,-7
Ramechhap,라메찹,-3.75
Puerto Vallarta,푸에르토 바야르타,-15
Annaba,안나바,-7
Yan'an,옌안,-1
Quito,키토,-14
Barrow Island,배로우 아일랜드,-1
El VigIa,엘 비히아,-13
Nuku Hiva,누쿠 히바,-19.5
Wollongong,울런공,+1
Panjang Island,판장 제도,-2
Corpus Christi,코퍼스 크리스티,-15
Yakima,야키마,-16
Rarotonga Island,라로통가 제도,-19
Aguadilla,아과디야,-13
Sullivan Bay,설리번 베이,-16
Chisinau,키시너우,-7
San Jose,산호세,-15
Manaoba Island,마나오바 제도,+2
Tablas Island,타블라스 제도,-1
Tuzla,투즐라,-7
Ua Pou,우아 포우,-19.5
Kalamata,칼라마타,-7
Kushiro,쿠시로,+0
Havana,하바나,-14
Greenwood,그린우드,-14
Taloyoak,탈로요크,-15
Parauapebas,파라우아페바스,-12
Batticaloa,바티칼로아,-3.5
Blenheim,블렌하임,+3
San Francisco,샌프란시스코,-16
Kashan,카샨,-5.5
Daocheng,다오청,-1
Salzburg,잘츠부르크,-7
Patos de Minas,파투스 지 미나스,-12
Colonel Hill,콜로넬 힐,-14
Napuka,나푸카,-19
Ganja,간자,-5
Shiraz,시라즈,-5.5
Astana,아스타나,-4
Jacksonville,잭슨빌,-13
Presque Isle,프레스크 아일,-13
Tuguegarao,투게가라오,-1
Saint Vincent,세인트 빈센트,-13
Petrozavodsk,페트로자보츠크,-6
Ankang,안캉,-1
Nekemte,네켐테,-6
Rosario,로사리오,-12
Trkmenabat,투르크메나바트,-4
Bonanza,보난자,-15
Malinau,말리나우,-2
Oulu,오울루,-7
Lazy Bay,레이지 베이,-17
Poza Rica,포사 리카,-15
Dang Tarigaun,당 타리가운,-3.75
Solwezi,솔웨지,-7
Kishangarh,키샨가르,-3.5
Port Angeles,포트 앤젤레스,-16
Anegada,아네가다,-13
Gan Island,간 제도,-4
Torres Islands,토레스 제도,+2
Sabzevar,삽제바르,-5.5
Mamburao,맘부라오,-1
Villagarzon,비야가르손,-14
StDenis,생드니,-5
Nakhon Si Thammarat,나콘시탐마랏,-2
Esmeraldas,에스메랄다스,-14
Jurmala,유르말라,-7
Huslia,후슬리아,-17
London,런던,-8
Surgut,수르구트,-4
Truckee,트러키,-16
Tinian,티니안,+1
Clovis,클로비스,-16
Naga,나가,-1
Jimma,짐마,-6
Suceava,수체아바,-7
Long Akah,롱아카,-1
Komatsu,고마쓰,+0
Punta Cana,푼타 카나,-14
Cochabamba,코차밤바,-13
Maprik Hayfield,마프릭 헤이필드,+1
Baikonur,바이코누르,-4
Dinard,디나르,-7
Vigan,비간,-1
Knock,노크,-8
Puerto Madryn,푸에르토 마드린,-12
Dembidolo,뎀비돌로,-6
Pickle Lake,피클 레이크,-14
Portage,포티지,-17
Ilulissat,일루리사트,-12
Faranah,파라나,-8
Kaltag,칼탁,-17
Cap Skirring,캅 스키링,-8
Galela,갈렐라,+0
Yola,욜라,-8
Podor,포도르,-8
Masset,매싯,-17
West Palm Beach,웨스트 팜 비치,-13
Saumlaki,사움라키,+0
Nizhneangarsk,니즈네앙가르스크,+0
Sandspit,샌즈핏,-17
Karumba,카룸바,+1
Qeqertarsuaq,케케르타르수아크,-12
Baku,바쿠,-5
