City,Korean_Name,Time_Difference_From_Seoul_Hours
Misurata,미수라타,-8
Nuoliang Township,누오량향,-1
Miyakojima,미야코지마,+0
Tasiujaq,타시우자크,-14
Belaya Gora,벨라야 고라,+2
Muzaffarabad,무자파라바드,-4
Ahwaz,아흐와즈,-4.5
Sumy,수미,-7
Coca,코카,-14
Baler,발레르,-1
Deputatsky,데푸타츠키,+2
Ambikapur,암비카푸르,-3.5
Goba,고바,-6
Saint Pierre,생피에르,-12
Leros,레로스,-6
Bol,볼,-8
Vilankulo,빌란쿨로,-7
Bahawalpur,바하왈푸르,-4
Amsterdam,암스테르담,-7
Kangra,캉그라,-3.5
Island Lake,아일랜드 레이크,-14
Chipata,치파타,-7
Narsarsuaq,나르사르수아크,-12
Gizo,기조,+2
Lelystad,렐리스타트,-7
Meyers Chuck,메이어스 척,-17
Kengtung,켕퉁,-2.5
Malindi,말린디,-6
Guerrero Negro,게레로 네그로,-17
Nyingchi,닝치,-1
Mati,마티,-1
Neryungri,네륭그리,+1
Bayanaul,바야나울,-4
Papa Westray,파파 웨스트레이,-8
Madurai,마두라이,-3.5
Luxor,룩소르,-7
Loreto,로레토,-12
Elista,엘리스타,-6
Cotonou,코토누,-8
Baracoa,바라코아,-13
Laoag,라오아그,-1
Hibbing,히빙,-14
Roberval,로베르발,-14
Izhevsk,이젭스크,-5
Mosjoen,모스옌,-7
Varginha,바르지냐,-12
Angouleme,앙굴렘,-7
Ugashik,우가시크,-18
Morgantown,모건타운,-13
Portsmouth,포츠머스,-8
Poprad,포프라트,-7
Lamap,라마프,+3
Gyumri,귬리,-5
Sokoto,소코토,-8
Jixi,지시,+1
Kisumu,키수무,-6
Karasburg,카라스부르크,-7
East Hampton,이스트 햄프턴,-13
Shamattawa,샤마타와,-14
Aydin,아이딘,-6
Pemba,펨바,-6
Pasco,파스코,-17
Trabzon,트라브존,-6
Lanyu,란위,+1
International Falls,인터내셔널 폴스,-14
canakkale,차나칼레,-6
Stavropol,스타브로폴,-6
Skagway,스캐그웨이,-17
Indianapolis,인디애나폴리스,-13
Kiel,킬,-7
Tumxuk,투무슈크,-3
Newman,뉴먼,+1
Cajamarca,카하마르카,-14
Great Harbour Cay,그레이트 하버 케이,-13
Kaliningrad,칼리닌그라드,-7
Kangiqsujuaq,캉기크수주아크,-14
Visakhapatnam,비사카파트남,-3.5
Albury,앨버리,+1
Timmins,티민스,-13
Anchorage,앵커리지,-18
Tampere,탐페레,-6
Betong,베통,-2
Kashgar,카슈가르,-3
Mmabatho,음마바토,-7
Higuerote,이게로테,-13
Chico,치코,-17
Kuqa,쿠처,-3
Whakatane,와카타네,+3
Mumbai,뭄바이,-3.5
Kakamega,카카메가,-6
Nukualofa,누쿠알로파,+4
Olathe,올레이드,-15
Atambua,아탐부아,-1
Qiqihar,치치하얼,+1
Kobuk,코북,-18
Copiapo,코피아포,-13
Lamerd,라메르드,-4.5
Cuxhaven,쿠스하펜,-7
Saint-Tropez,생트로페,-7
Penticton,펜틱턴,-17
Abakan,아바칸,-3
Sandnessjoen,산네스옌,-7
Minna,민나,-8
Maotai,마오타이,-1
Nuevo Laredo,누에보 라레도,-15
Jaque,하케,-15
Singkawang,싱카왕,-2
Puerto Cabezas,푸에르토 카베사스,-15
Dole,돌,-7
Aleppo,알레포,-6
Islita,이슬리타,-15
Kuito,쿠이토,-8
Olympic Dam,올림픽 댐,+0.5
Ambler,앰블러,-18
Manaung,마나웅,-2.5
Oklahoma,오클라호마,-15
Buenaventura,부에나벤투라,-14
Colon,콜론,-15
Zabol,자볼,-4.5
Kahului,카훌루이,-19
Long Banga,롱 방아,-1
Moree,모리,+1
Kaadedhdhoo Island,카아데드두 섬,-4
Thangool,탕굴,+1
Mbandaka,음반다카,-8
Cape Girardeau,케이프 지라도,-15
Ambrolauri,암브롤라우리,-5
Ottawa,오타와,-13
Panzhihua,판즈화,-1
Kenai,케나이,-18
Setif,세티프,-8
Tabriz,타브리즈,-4.5
Smithers,스미더스,-17
Sfax,스팍스,-8
Northolt,노솔트,-8
Baltimore Washington,볼티모어 워싱턴,-13
Panama Pacifico,파나마 파시피코,-14
Levelock,레벨록,-18
Atmautluak,앳마우틀루악,-18
Kodiak,코디악,-18
Norilsk,노릴스크,-4
Kajaani,카야니,-6
Jember,젬버,-2
Teixeira de Freitas,테이셰이라 지 프레이타스,-12
Inongo,이농고,-8
Gillies Bay,길리스 베이,-17
Puerto Ayacucho,푸에르토 아야쿠초,-13
Tri-City,트라이시티,-17
Mekoryuk,메코류크,-18
Marrakesh,마라케시,-8
Akure,아쿠레,-8
Nyurba,뉴르바,+1
Tortoli,토르토리,-7
Tatakoto,타타코토,-19
Twin Hills,트윈 힐스,-18
Mfuwe,음푸웨,-7
McAllen,맥앨런,-15
Uranium City,우라늄 시티,-15
Sechelt,세셸트,-17
Cayman Brac,케이맨 브랙,-14
Jagdalpur,자그달푸르,-3.5
Kananga,카낭가,-8
Mataram,마타람,-1
Kumejima,쿠메지마,+0
Nanisivik,나니시빅,-15
Acandi,아칸디,-14
Gulf Shores,걸프 쇼어스,-15
Nosy Be,노시 베,-6
La Plata,라플라타,-12
Luang Prabang,루앙프라방,-2
Lamezia Terme,라메치아 테르메,-7
Macae,마카에,-12
Benghazi,벵가지,-7
Aktau,악타우,-4
Karonga,카롱가,-7
Monterey,몬테레이,-17
Vologda,볼로그다,-6
Kars,카르스,-6
Stony River,스토니 리버,-18
Magway,마그웨이,-2.5
Kota Kinabalu,코타키나발루,-1
Karluk,칼루크,-18
Nuuk,누크,-11
Toledo,톨레도,-7
Bahir Dar,바히르 다르,-6
Araracuara,아라라쿠아라,-14
Ternopil,테르노필,-7
Eilat,에일라트,-7
Ghadames,가다메스,-8
Koyuk,코유크,-18
Tanahmerah,타나메라,+2
Aswan,아스완,-7
Plattsburgh,플래츠버그,-13
Loncopue,론코푸에,-12
Mount Magnet,마운트 마그넷,+1
Mahe Island,마헤 섬,-5
Natuashish,나투아시쉬,-12
Mnster,뮌스터,-7
Gjgur,그외이우르,-9
Kirensk,키렌스크,+1
Veracruz,베라크루스,-15
Nantes,낭트,-7
Port Macquarie,포트 매쿼리,+1
La Rochelle,라 로셸,-7
Manhuacu,마냐수,-12
Boma,보마,-8
Yecheon,예천,+0
MvuuCamp,음부우 캠프,-7
DePale,데 팔레,-8
Faisalabad,파이살라바드,-4
Zyryanka,지랸카,+2
Yazd,야즈드,-4.5
Gatineau,가티노,-13
Pechora,페초라,-6
Riyadh,리야드,-6
Cairo,카이로,-7
Jizan,지잔,-6
Durango,두랑고,-15
Mornington Island,모닝턴 아일랜드,+0.5
Imphal,임팔,-2.5
Singapore,싱가포르,-1
Auki,아우키,+2
Proserpine,프로서파인,+1
Hanoi,하노이,-2
Maku,마쿠,-4.5
Shiquanhe,시촨허,-3
Choluteca,촐루테카,-15
Zhangye,장예,-1
Zemio,제미오,-8
San Luis Obispo,샌루이스 오비스포,-17
Sao Carlos,상 카를루스,-12
Bradford,브래드포드,-8
Devils Lake,데블스 레이크,-15
Vernal,버널,-16
Syracuse,시러큐스,-13
Fontvieille,퐁비에유,-7
Lake Baringo,바링고 호수,-6
Powell River,파월 리버,-17
Semarang,세마랑,-2
Khonuu,호누우,+2
Charlottesville,샬러츠빌,-13
Marau,마라우,-12
Itokama,이토카마,+1
Placencia,플라센시아,-15
Yorke Island,요크 아일랜드,+1
Stupino,스투피노,-6
Tulcea,툴체아,-7
StBarthelemy,생바르텔레미,-13
Dalanzadgad,달란자드가드,-1
Mambajao,맘바자오,-1
Udaipur,우다이푸르,-3.5
Pucallpa,푸칼파,-14
Kaohsiung,가오슝,+1
Anapa,아나파,-6
Williston,윌리스턴,-15
Natuna Islands,나투나 제도,-2
Guapi,과피,-14
La Palma,라 팔마,-9
Lawrenceville,로렌스빌,-13
Nkayi,은카이,-8
Tezu,테주,-3
Santa Barbara,산타 바바라,-17
Tununak,투누낙,-18
Zhalantun,잘란툰,+1
Esbjerg,에스비에르,-7
Moshi,모시,-6
Ouvea,우베아,+3
Ganges,갠지스,-8
Prince George,프린스 조지,-17
Yangzhou,양저우,-1
Olenyok,올레뇨크,+1
Hubli,후블리,-3.5
Roanoke,로어노크,-13
Albany,올버니,-13
La Primavera,라 프리마베라,-14
Klagbay,클랙베이,-18
Lethem,레뎀,-12
Roi Et,로이엣,-2
Roros,뢰로스,-7
Kubin,쿠빈,+1
Deniliquin,데닐리퀸,+1
Hassi Messaoud,하시 메사우드,-8
Gillette,질레트,-16
Sunyani,수냐니,-9
Gainesville,게인즈빌,-13
Kozani,코자니,-7
Lublin,루블린,-7
Kukes,쿠커스,-7
Narrandera,나라데라,+1
Jinchang,진창,-1
Veliky Ustyug,벨리키 우스튜크,-6
Windsor,윈저,-13
Fuyuan,푸위안,+2
Anqing,안칭,-1
Roxas,록사스,-1
Brochet,브로셰,-14
Passo Fundo,파수 푼두,-12
Moline,몰린,-14
Komsomolsk-on-Amur,콤소몰스크-온-아무르,+2
Samsun,삼순,-6
Ludhiana,루디아나,-3.5
Marthas Vineyard,마서스 빈야드,-13
Mangrove Cay,맹그로브 케이,-13
Craig,크레이그,-17
Yarmouth,야머스,-13
Pittsburgh,피츠버그,-13
Puerto Suarez,푸에르토 수아레스,-13
Hoskins,호스킨스,+2
Juiz de Fora,주이스 지 포라,-12
Sena Madureira,세나 마두레이라,-13
Nalchik,날치크,-6
MaliLosinj,말리 로시니,-7
Hobart,호바트,+1
Banjarmasin,반자르마신,-2
Red Sea,홍해,-7
Montrose,몬트로즈,-8
Songyuan,쑹위안,+1
Winston-Salem,윈스턴-세일럼,-13
Manzanillo,만사니요,-15
Macao,마카오,-1
Rasht,라슈트,-4.5
Fahud,파후드,-5
Labrea,라브레아,-13
Tours,투르,-7
Komo-Manda,코모-만다,-8
Delta Junction,델타 정션,-18
Changzhou,창저우,-1
Bungo Regency,분고 리젠시,-2
Serui,세루이,+2
Dillon's Bay,딜런스 베이,+3
Aitutaki,아이투타키,-20
Kamina,카미나,-8
Taiyuan,타이위안,-1
Chizhou,츠저우,-1
Sibiti,시비티,-8
Mazamari,마사마리,-14
Hue,후에,-2
Xining,시닝,-1
Chiclayo,치클라요,-14
Sanikiluaq,사니킬루아크,-14
Xingyi,싱이,-1
DenpasarBali,덴파사르 발리,-1
Freetown,프리타운,-9
Yorkton,요크턴,-14
Shannan,산난,-1
Putao,푸타오,-2.5
Puerto Penasco,푸에르토 페냐스코,-16
Haiphong,하이퐁,-2
Ouango Fitini,오우앙고 피티니,-9
Taif,타이프,-6
Porto Seguro,포르투 세구루,-12
Porbandar,포르반다르,-3.5
Guantanamo,관타나모,-13
Ulundi,울룬디,-7
Tatalina,타탈리나,-18
Bismarck,비스마르크,-15
Yuzhno-Kurilsk,유즈노쿠릴스크,+2
Malatya,말라티아,-6
Cape Barren Island,케이프 바렌 섬,+1
Sari,사리,-4.5
Yekaterinburg,예카테린부르크,-5
StLucia,세인트루시아,-13
Venice,베니스,-7
Savonlinna,사본린나,-6
Jalgaon,잘가온,-3.5
Dolpa,돌파,-3.75
Termas de RIo Hondo,테르마스 데 리오 온도,-12
Mount Hagen,마운트 하겐,+1
La Ronge,라 론지,-15
Kone,코네,+3
Inverell,인버렐,+1
Ioannina,이오안니나,-7
Southern Pines,서던 파인스,-13
Eugene,유진,-17
Constantine,콘스탄틴,-8
St. Louis,세인트루이스,-15
St. Michael,세인트 마이클,-18
Changhai,창하이,+0
Bydgoszcz,비드고슈치,-7
Loei,러이,-2
Lodwar,로드와르,-6
Zhigansk,지가스스크,+1
Jingdezhen,징더전,-1
Steamboat Springs,스티머 스프링스,-16
Mackay,매카이,+1
Krasnoyarsk,크라스노야르스크,+1
Bucharest,부쿠레슈티,-7
Nelson Lagoon,넬슨 라군,-18
Cheongju,청주,+0
Iki,이키,+0
Haines,헤인즈,-17
Funadhoo,푸나두,-4
Ceduna,세두나,+0.5
Poitiers,푸아티에,-7
OrangeWalk,오렌지워크,-15
Deauville,도빌,-7
Arkhangelsk,아르한겔스크,-6
Londolozi,론도로지,-7
Picton,픽턴,+3
Merida,메리다,-15
Davao,다바오,-1
Dourados,도라도스,-13
Shreveport,슈리브포트,-15
Baltra Island,발트라 섬,-15
Ayodhya,아요디아,-3.5
Phu Quoc Island,푸꾸옥 섬,-2
Slovenj Gradec,슬로베니 그라데츠,-7
Malanje,말란제,-8
Santa Elena de Uairen,산타 엘레나 데 우아이렌,-13
Ambala,암발라,-3.5
Osborne Mine,오스본 광산,+1
Khanty-Mansiysk,한티만시스크,-5
Enshi,언스,-1
North Battleford,노스 배틀포드,-15
Olgii,올기이,-1
Charlevoix ,샤를부아,-13
Vaasa,바사,-6
Fort McMurray,포트 맥머레이,-16
MarIlia,마릴리아,-12
Fort Dodge,포트 도지,-14
Catumbela,카툼벨라,-8
Manado,마나도,+1
Dzaoudzi,자우지,-5
Tumlingtar,툼링타르,-3.75
Blue Mountain,블루 마운틴,-13
Bergerac,베르주라크,-7
Port Moresby,포트 모르즈비,+1
Kasama,카사마,-7
Inagua Islands,이나과 제도,-13
Decatur,디케이터,-14
Adelaide,애들레이드,+0.5
Taisha,타이샤,-14
Show Low,쇼 로우,-16
La FrIa,라 프리아,-14
NuquI,누퀴,-14
Takaroa,타카로아,-19
Coro,코로,-13
Maumere,마우메레,-1
La Paz,라파스,-13
Beira,베이라,-7
Dongying,둥잉,-1
Lilabari,릴라바리,-3
Excursion,엑스커션,-17
Shihezi,스허즈,-3
Ramsar,람사르,-4.5
Nanwalek,난와렉,-18
Ocho Rios,오초 리오스,-13
Gondar,곤다르,-6
St. Augustine,세인트 오거스틴,-13
Mongu,몽구,-7
Magas,마가스,-6
Phetchabun,펫차분,-2
La Romaine,라 로맹,-13
Mount Pleasant,마운트 플레전트,-13
Peace River,피스 리버,-16
County Donegal,도니골 주,-8
Totegegie,토테제지,-19
Kayseri,카이세리,-6
Svetlaya,스베틀라야,+2
Bom Jesus,봄 제주스,-12
Bingl,빙외르,-6
Harrison,해리슨,-17
Lebak,레박,-2
Bolzano,볼차노,-7
Accra,아크라,-9
Abbotsford,애벗츠포드,-17
Dresden,드레스덴,-7
Alamosa,알라모사,-16
Hat Yai,핫야이,-2
Drake Bay,드레이크 베이,-15
Buon Ma Thuot,부온마투옷,-2
Manchester,맨체스터,-8
Kuopio,쿠오피오,-6
Upland,업랜드,-17
Eisk,예이스크,-6
Taplejung,타플레중,-3.75
Terrace,테라스,-17
Kavala,카발라,-7
Everett,에버렛,-17
KittilA,키틸래,-6
Tanjung,탄중,-2
Saint Catherine,세인트 캐서린,-7
Port Hardy,포트 하디,-17
Mohe,모허,+1
Bandare Mahshahr,반다레 마흐샤르,-4.5
PlayonChico,플라욘치코,-15
Arunachal Pradesh,아루나찰 프라데시,-3
Deir ez-Zor,데이르 에즈조르,-6
Friday Harbor,프라이데이 하버,-17
Ouzinkie,우진키,-18
South Andros,사우스 안드로스,-13
Rodrigues Island,로드리게스 섬,-5
Rampart,램파트,-18
Beijing,베이징,-1
Hamburg,함부르크,-7
Vavau,바바우,+4
Damaturu,다마투루,-8
Utopia Creek,유토피아 크릭,-18
Uruguaiana,우루과이아나,-12
Myeik,미예익,-2.5
Tepic,테픽,-16
Dodge City,닷지 시티,-15
Chandrapur,찬드라푸르,-3.5
Munich,뮌헨,-7
Metz/Nancy,메츠/낭시,-7
El Nido,엘 니도,-1
Churchill Falls,처칠 폴스,-12.5
Kalemie,칼레미,-8
Dalnegorsk,달네고르스크,+2
Sintang,신탕,-2
The Pas,더 파스,-14
RIo Grande,히오 그란데,-12
Canouan,카누안,-13
Akutan,아쿠탄,-19
Kitwe,키트웨,-7
Malacca,말라카,-1
Chaiten,차이텐,-12
Tuscaloosa,터스컬루사,-15
N'Djamena,은자메나,-8
Mudanjiang,무단장,+1
Masamba,마삼바,-1
Pula,풀라,-7
Krui,크루이,-2
Cleveland,클리블랜드,-13
Kasigluk,카시글룩,-18
Joensuu,요엔수,-6
Jersey,저지,-8
Luang Namtha,루앙 남타,-2
Kirkwall,커크월,-8
Jackson,잭슨,-13
Aranuka Buariki,아라누카 부아리키,+3
Tarawa,타라와,+3
Tok,토크,-18
Leinster,레인스터,+1
Lockhart River,록하트 리버,+1
Zachar Bay,자가르 베이,-18
St. Petersburg,상트페테르부르크,-6
Troyes,트루아,-7
Dipayal Silgadhi,디파얄 실가디,-3.75
Tuxtla Gutierrez,투스틀라 구티에레스,-15
Zhaosu,자오쑤,-3
Stockton,스톡턴,-17
Varadero,바라데로,-13
Nikolski,니콜스키,-19
Churchill,처칠,-14
Katima Mulilo,카티마 물리노,-7
Kaduqli,카두글리,-7
Manila,마닐라,-1
Fort Severn,포트 세번,-14
Zhongwei,중웨이,-1
Fortuna,포르투나,-17
Nis,니스,-7
Gelendzhik,겔렌지크,-6
Elmira,엘미라,-13
Rafha,라파,-6
Lycksele,릭셀레,-7
Fergana,페르가나,-4
Atyrau,아티라우,-4
Strahan,스트라한,+1
Bhadrapur Chandragadi,바드라푸르 찬드라가디,-3.75
Tindouf,틴두프,-9
Santo angelo,산투 안젤루,-12
Liberia,리베리아,-15
Taichung,타이중,+1
Radisson River,래디슨 리버,-14
Ossora,오소라,+2
Destin-Fort Walton,데스틴-포트 월튼,-15
Brainerd,브레이너드,-14
Ghardaia,가르다이아,-8
Maceio,마세이오,-12
Turbat,투르바트,-4
Feira de Santana,페이라 지 산타나,-12
Club Makokola,클럽 마코콜라,-7
El Fasher,엘 파셰르,-7
Lukla,루클라,-3.75
Aniwa Island,아니와 섬,+3
Hejing,허징,-3
Windorah,윈도라,+1
Kyzyl,키질,-4
Lahr,라르,-7
Ronneby,론네뷔,-7
Pune,푸네,-3.5
Islamkot,이슬람콧,-4
Fargo,파고,-15
Bowling Green,볼링 그린,-14
Quilpie,퀼피,+1
Edinburgh,에든버러,-8
Dover,도버,-13
Tver,트베르,-6
Calgary,캘거리,-16
Orleans,올리언스,-7
Madivaru,마디바루,-4
Okushiri,오쿠시리,+0
Kalabo,칼라보,-7
Takaka,타카카,+3
Sachigo Lake,사치고 레이크,-14
Georgia,조지아,-13
Chapeco,샤페코,-12
Porto Murtinho,포르투 무르팅요,-13
Santarem,산타렝,-13
Hatton,해튼,-3.5
Kahama,카하마,-6
Aratika,아라티카,-19
Kooddoo,쿠두,-4
Red Devil,레드 데블,-18
Montserrat,몬트세라트,-13
Whitmore,휘트모어,-17
Zalingei,잘링게이,-7
Balimo,발리모,+1
Changuinola,찬귀놀라,-15
Jahrom,자흐롬,-4.5
Birjand,비르잔드,-4.5
Lloydminster,로이드민스터,-16
Napaskiak,나파스키악,-18
Savannakhet,사반나켓,-2
Ilheus,일례우스,-12
Choiseul Bay,초이셀 베이,+2
Kurgan,쿠르간,-5
Puerto Cabello,푸에르토 카벨로,-13
Rumbek,룸벡,-7
Odesa,오데사,-7
Lbeck,뤼베크,-7
Diomede,디오메데,-18
Kudat,쿠닷,-1
Kuching,쿠칭,-1
Tyler,타일러,-15
Olbia,올비아,-7
Minto,민토,-18
Concordia,콘코르디아,-12
Kongiganak,콩기가낙,-18
Red Deer,레드 디어,-16
Chignik Lake,치그니크 레이크,-18
Qualicum Beach,퀄리컴 비치,-17
Male,말레,-4
Xuzhou,쉬저우,-1
Selawik,셀라윅,-18
Mota Lava,모타 라바,+3
Gondia,곤디아,-3.5
Alxa Left Banner,알샤 좌기,-1
Samburu,삼부루,-6
Zargan,자가르잔,-4.5
Marshall,마셜,-18
Maloelap Atol,말로엘라프 아톨,+3
Hughes,휴스,-18
Zeya,제야,+1
Barnaul,바르나울,-3
Sao Filipe,상 필리페,-9
Matsumoto,마쓰모토,+0
Spokane,스포캔,-17
Zanzibar,잔지바르,-6
Pottstown,포츠타운,-13
Easter Island,이스터 섬,-15
Chitrakoot,치트라쿠트,-3.5
Joplin,조플린,-15
Clarksburg,클락스버그,-13
Khorog,호로그,-4
Wuhan,우한,-1
Glasgow,글래스고,-8
Monrovia,몬로비아,-9
Aldan,알단,+1
Halifax,핼리팩스,-12
Islamabad,이슬라마바드,-4
Barinas,바리나스,-13
Hawthorne,호손,-17
San Tome,산 토메,-8
Port Said,포트사이드,-7
Fayetteville,페이엣빌,-13
McGrath,맥그래스,-18
Halmstad,할름스타드,-7
Zaria,자리아,-8
Niamtougou,니암투구,-9
Mayaguana,마야구아나,-13
Space Coast ,스페이스 코스트,-13
Tuktoyaktuk,툭토약툭,-15
Fuvahmulah,푸바물라,-4
Munda,문다,+2
Wildman Lake,와일드맨 레이크,-18
Gulfport,걸프포트,-15
Bonne Terre,본 테르,-15
Lebanon,레바논,-13
Eagle,이글,-18
Arusha,아루샤,-6
Morowali,모로왈리,-2
Arica,아리카,-13
Angelholm,엔옐홀름,-7
Satu Mare,사투 마레,-7
Anyang,안양,-1
Flateyri,플라테이리,-9
Lake Tahoe,타호 호수,-17
Mukalla,무칼라,-6
Beihai,베이하이,-1
Saint Petersburg,상트페테르부르크,-6
Guilin,구이린,-1
Fredericton,프레더릭턴,-13
Vilnius,빌뉴스,-6
Kongolo,콩골로,-8
Arorae Island,아로라에 섬,+3
Wolf Point,울프 포인트,-15
La Crosse,라크로스,-14
Shennongjia,선눙자,-1
Santa MarIa del Mar,산타 마리아 델 마르,-15
Harrisburg,해리스버그,-13
Ononge,오논게,+1
MiritI-Parana,미리티-파라나,-14
Nakhon Ratchasima,나콘랏차시마,-2
Juba,주바,-7
Chatham Islands,채텀 제도,+4.75
Tel Aviv,텔아비브,-7
Staniel Cay,스탠리 케이,-13
PedasI,페다시,-6
Mary,메리,-4
Constanta,콘스탄차,-7
Qinhuangdao,친황다오,-1
Sermiligaaq,세르밀리가크,-11
Olpoi,올포이,+3
Silver ,실버,-13
Kharg Island,하르그 섬,-4.5
Mahajanga,마하장가,-6
Columbus,컬럼버스,-14
Armidale,아미데일,+1
Rajkot,라지코트,-3.5
Corfu,코르푸,-7
Ukhta,우흐타,-6
Mysore,마이소르,-3.5
Emmen,엠멘,-7
Ardabil,아르다빌,-4.5
Norway House,노르웨이 하우스,-14
Bluefields,블루필즈,-15
Fukuoka,후쿠오카,+0
Port Harcourt,포트 하코트,-8
Jalapa,할라파,-15
Sanming,산밍,-1
Jihlava,이흘라바,-7
HevIz,헤비즈,-7
Milan,밀라노,-7
Rupsi,룹시,-3
Fort Simpson,포트 심슨,-16
Charleville,샤를빌,+1
Tarbes-Lourdes,타르브-루르드,-7
Rosh Pinna,로쉬 피나,-7
Jaguaruna,자구아루나,-12
Beaumont,보몬트,-15
Laucala Island,라우칼라 섬,+3
Nanning,난닝,-1
Araraquara,아라라콰라,-12
Ngala,응갈라,-8
Havre-Saint-Pierre,아브르 생 피에르,-13
Saint-Brieuc,생브리외,-8
Vientiane,비엔티안,-2
Balalae Island,발라래 섬,+2
Vellore,벨로어,-3.5
Shonai,쇼나이,+0
Parasi,파라시,-3.75
Multan,물탄,-4
Bannu,반누,-4
Ziguinchor,지갱쇼르,-9
Tarapaca,타라파카,-14
Bima,비마,-2
Middlemount,미들마운트,+1
Geraldton,제럴턴,+1
Jalalabad,잘랄라바드,-4.5
Tambrauw,탐브라우,+2
Kupang,쿠팡,-1
Mexico City,멕시코시티,-15
Coffman Cove,코프먼 코브,-17
Kassala,카살라,-7
Paris,파리,-7
Ube,우베,+0
Dubbo,더보,+1
Cajazeiras,카자제이라스,-12
Caen,캉,-7
Milos,밀로스,-6
Cape Winelands,케이프 와인랜즈,-7
Gwangju,광주,+0
Jinka,진카,-6
Flagstaff,플래그스태프,-16
Enschede,엔스헤데,-7
Kokshetau,콕셰타우,-4
Lewisburg,루이스버그,-13
Coatepeque,코아테페케,-15
Tari,타리,+1
Khanidanda,카니다다,-3.75
Fez,페즈,-8
Sheridan,셰리든,-16
Louisville,루이빌,-13
Wanzhou,완저우,-1
Ilo,일로,-14
Surat,수라트,-3.5
Dundee,던디,-8
Clayton,클레이턴,-16
Nouadhibou,누아디부,-9
Coral Harbour,코럴 하버,-15
Sarh,사르,-8
Noorvik,노르빅,-18
Kokkola-Pietarsaari,코콜라-피에타르사리,-6
Norderney,노르데르나이,-7
Farah,파라,-4.5
Villa de Merlo,비야 데 메를로,-12
Jujuy,후후이,-13
Hoonah,후나,-17
Fuzuli,푸줄리,-5
Seosan,서산,+0
Loikaw,로이카우,-2.5
El Golea,엘 골레아,-8
Chisana,치사나,-18
Zurich,취리히,-7
Nevis,네비스,-13
Ol Seki,올 세키,-6
Oujda,우지다,-8
Port Vila,포트빌라,+2
Assiut,아시우트,-7
Tirupati,티루파티,-3.5
Ciudad Victoria,시우다드 빅토리아,-15
Buol,부올,-1
Otto,오토,-15
Ogden,오그덴,-16
Fond-du-Lac,퐁뒤라크,-15
Big Trout Lake,빅 트라웃 레이크,-14
Tabatinga,타바팅가,-13
Daraga,다라가,-1
Asaba,아사바,-8
Fair Isle,페어 아일,-8
Tucson,투손,-16
Chitre,치트레,-14
Little Rock,리틀 록,-15
Greensboro,그린즈버러,-13
Campbeltown,캠벨타운,-8
Jiuzhaigou,주자이거우,-1
Abeche,아베셰,-8
